职位名称,职位所属部门名称,工作地点,工作性质,经验要求,学历要求,薪资,专业要求,招聘人数,职位诱惑（福利待遇）,岗位描述,公司名称,公司行业,公司性质,公司发展阶段（融资阶段）,公司规模,公司主页链接,发布时间,发布网站,信息来源
数据产品经理,金融服务平台,上海市,全职,3年,本科,20K-30K,NULL,NULL,NULL,"岗位职责：
1.调研、分析与管理业务方各类数据需求，推动数据需求落地；
2.主导数据产品的设计与研发，与数据分析师、数据开发、需求方紧密合作，挖掘数据价值，形成数据产品；
3.深入挖掘业务数据，提出策略优化建议，推动业务和产品优化调整，提升经营效率。
任职要求：
1.2年以上数据产品规划设计或数据分析经验，具备良好的数据敏感度、业务视野及调研分析能力；
2.具备复杂产品的需求分析、项目管理经验，有优秀的沟通和团队合作能力；
3.熟练使用Hive/SQL，熟练掌握各类数据分析技能与工具；
4.对数据生产流程有深入理解，了解数据仓库技术。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/12,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257788344922082161
风险数据挖掘,金融服务平台,上海市,全职,3年,本科,20K-30K,NULL,NULL,NULL,"岗位职责：
1.负责按照业务需求建立并完善风控所需要的数据集市；
2. 负责金融风险管理相关的数据分析，并撰写高质量的分析报告；
3. 负责数据挖掘模型的构建、维护、部署和评估；
5.负责对风险预警异常情况进行深入分析并提出独立的风险判断，对业务风险指标进行跟踪分析及优化；
6.对于部门内产品、需求提供数据支持，对于风险规则配置提供建议。
任职要求：
1.熟悉统计学习、机器学习主流方法及应用，熟悉统计学习和机器学习相关开发技术、工具和方法；有模型开发和应用经验，金融风控模型开发经验优先；
2.熟悉hadoop大数据开发，可以独立完成数据清洗、加工、调研工作。有特征工程开发经验和优秀的数字敏感度；
3.2年及以上模型开发经验，熟练应用主流模型开发技术，具备机器学习技术优先；
4.  热爱金融业务，有良好的团队协作能力，求真务实。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/12,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257786372999416684
无人配送车-机械与结构,餐饮平台,北京市,全职,4年,本科,20K-45K,机械工程或机器人相关专业本科毕业且5年以上行业经验,NULL,NULL,"高级机械和结构工程师

工作地点：北京

 工作职责： 

1、支持从原型到量产的车辆机械及结构设计，及其它工程团队的需求；

2、与供应链团队及供应商合作，确保组件的及时交货；

3、负责可靠性及质量检测，比如DFMEA 和DVP&R

4、负责确定产品结构设计、材料选择以及生产工艺；

5、负责按照相应规范出3D图、2D工程图；

6、负责产品生产的可行性验证，解决产品生产中的技术问题；


职位要求： 

1、机械工程或机器人相关专业本科毕业且5年以上行业经验；

2、有多个项目从初始设计到概念验证到量产的经验；

3、精通三维建模，具备独立设计产品能力(Solidworks最佳)；

4、了解各种制造方法及工艺，比如金属、塑胶材料性能，具备注塑、冲压模具知识等；

5、了解热问题及冷却方法；

6、热爱设计、具备创新能力和审美能力，能对设计进行必要的分析；

优先考虑

1、广泛的传感器知识，比如相机，激光雷达，超声波雷达等；

2、安全行业或者汽车行业的经验；

3、博士学位；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/12,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=236281076714639698
资深算法工程师（图像处理）,点评平台及综合事业群,上海市,全职,5年,本科,40K-45K,NULL,NULL,NULL,"工作描述：
1、负责商户门头图OCR算法的研发，提升众包商户数据验真的效率，改善业务流程；
2、负责商户图片质量打分算法的研发，自动进行商户头图筛选；
3、负责商户图片分类算法的研发，对ugc图片进行自动的分类。
任职资格：
1.本科及以上学历，有5年以上工作经验；
2.有丰富的图像处理及OCR实践经验，有完整的深度学习实践经验；
3.在工作中能做到积极主动，有责任心。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/12,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257742728847035148
数据产品运营—外卖事业部,外卖配送事业群,北京市,全职,3年,本科,20K-40K,计算机、统计学、数学等相关专业,NULL,NULL,"工作职责：
1、数据产品维度及指标标准化管理
2、数据产品投产效果评估及改进计划制定，推动相关的数据产品经理进行产品优化及升级
3、数据资源管理规范的制定及落地推动及审计
职位要求：
1、熟练掌握SQL语句及EXCEL；
2、极强的推动能力和主人翁意识，驱动业务线数据产品整体应用情况的持续优化和改善；
3、熟悉互联网产品整体实现过程，包括从机会点发现到产品发布，深刻理解用户需求，有自己形成的一套客观评估产品投产效果的思路;
4、熟悉市面上主流数据产品包括：BI类、挖掘类、数据工具等；
5、了解数据资源管理的一般方法，包括常见的数据资源类型、权限结构、权限审计等；
6、计算机、统计学、数学等相关专业，本科及以上学历，1年以上数据产品运营经验；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257413075301173875
高级数据产品经理（挖,外卖配送事业群,北京市,全职,5年,本科,20K-40K,NULL,NULL,NULL,"岗位职责：
1、负责外卖平台数据挖掘相关产品，整体规划和把控数据挖掘相关的各个产品，指导产品不断创新并有效落地；
2、深入观察业务，结合业务场景挖掘数据价值，并有效推动业务，与各个业务线建立稳定的合作模式；
3、跟进产品开发，协调资源，高效的对接技术团队，优化数据挖掘的生产流程；
任职要求：
1、五年以上数据挖掘产品相关经验，熟悉电商、O2O行业，了解挖掘算法，熟悉数据挖掘产品相关的应用方向，如营销策略、个推等；
2、有良好的数据思维，对数据价值有较深的认识，在数据应用上具备前瞻性和创新能力；
3、能够熟练使用各类产品工具和数据查询工具；良好的沟通和表达能力，有强烈的责任心和团队合作精神，能够独立负责大中型项目的跨部门协调；
4、加分项：有搜索、排序、个性化推荐等策略类产品经验者佳；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=242175181915232715
数据产品经理（流量方向）,外卖配送事业群,北京市,全职,3年,本科,20K-40K,NULL,NULL,NULL,"工作职责：
1、负责广告、渠道、站内活动等流量方向数据产品的策划、设计及推广；
岗位要求：
1、3年以上工作经验，主导过大型数据产品的设计和上线，对流量数据的生产和消费有独到的见解，有信息流、搜索排序、电商类应用数据分析经验者优先；
2、熟练使用Axure/SQL，熟悉数据仓库技术，熟悉客户端/前端埋点；
3、对数据敏感，细心、严谨，有较强的责任心及自驱力；
4、加分项：有广告、营销数据产品相关经验；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257410347611064939
数据产品经理（爬虫）—外卖事业部,外卖配送事业群,北京市,全职,3年,本科,20K-40K,NULL,NULL,NULL,"工作职责：
1、抓取、反抓取策略产品设计；
2、持续跟踪行业和市场，负责竞品分析、行业分析方向产品策划；
岗位要求：
1、3年以上爬虫相关数据经验，对数据采集业务有深度的理解，能够提出完整的数据采集-清洗-应用方案；
2、有爬虫识别及拦截的落地项目经验积累；
2、熟练使用Axure/SQL，熟悉Python；
3、对数据敏感，细心、严谨，有较强的责任心及自驱力；
4、良好的团队协作交流能力；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257408544626575975
高级数据产品经理—外卖事业部,外卖配送事业群,北京市,全职,5年,本科,20K-40K,NULL,NULL,NULL,"岗位描述：
1、lead数据提效方向的产品团队（5-7人），团队组成包括：业务分析工具、多维分析工具、数据可视化工具以及数据标准化运营；
2、业务分析型数据产品的方案规划及设计；
职能描述：
1、5年以上数据相关工作经验，如：数据产品、数据分析等，并已沉淀出一套相对系统化的数据应用体系结构；
2、对产品的基本方法论有结合实践经验的深刻认知，包括：产品架构、设计要素、目标制定及效果量化；
3、有统计学相关背景，掌握经典的分析方法，并能应用到日常产品规划及分析中；
4、有一定的团队管理经验，能够hold住产品+运营复合型团队的工作规划和管理；
5、沟通表达能力佳，逻辑思维清晰，能够准确定位和剖析真实的业务需求；
6、有产品追求，对于产出有明确的自我要求，并能够积极主动付诸实践推动产品自我迭代升级；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257405118006037089
数据产品,外卖配送事业群,北京市,全职,3年,本科,20K-40K,GIS相关专业、计算机相关专业毕业或者有图商工作经验的优先考虑,NULL,NULL,"【工作职责1】

负责外卖CRMPOI组流程建设工作（商家数据关系挖掘、关联关系识别），能够针对现有流程问题主动发现，对于外部反馈问题进行分析、跟踪，最终负责整个模块建设和功能迭代。
能够作为产品主R与RD讨论并落实需求PRD，负责整个产品的功能上线、问题收集及版本迭代。
能够针对PC\APP的数据产品主导功能设计，进行需求征集、功能优化、PRD产出、配合RD\QA进行测试，最终保证功能优化、落地。
能够根据自己负责的方向主动承担产品分析工作，能够主动了解和学习兄弟部门的工作职责和相关功能，积极主动承担本组负责产品的分析工作，也能转达给兄弟部门与之相关的需求。
【工作职责2】

参与外卖CRMPOI组功能推广、拎包调研，积极收集各渠道反馈信息，能够分析提炼有效的产品需求并落地。
参与外卖CRMPOI组数据中心建设，能够针对负责模块上线相关的报表、跟踪进展，定期输出效果说明并协助进行产品功能迭代。
针对各来源反馈的产品需求，能够根据自己负责的方向主动承担产品分析工作，能够主动了解和学习兄弟部门的工作职责和相关功能，积极主动承担本组负责产品的分析工作，也能转达给兄弟部门与之相关的需求。
【任职资格】

3年及以上移动互联网相关行业工作经验。本科及以上学历。
GIS相关专业、计算机相关专业毕业或者有图商工作经验的优先考虑。
熟练掌握数据分析、产品设计相关软件，能够独立完成数据提取、分析、策略制定及PRD设计。
掌握产品功能推广技巧，能够对外推广负责的产品功能并负责培训。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257402160974727826
高级销售数据分析专员（绩效）,美团平台及酒旅事业群,北京市,全职,3年,本科,10K-20K,NULL,NULL,NULL,"岗位职责： 
1、按时、准确的提供各指标的日数据报表，针对相关联报表进行有效整合；
2、针对每日追踪产生异常数
据进行深入分析，提供产生差异分析，及时提报异常数据至相关追踪人员； 
3、负责客服员工绩效考核体系建设和测算工作； 
4、完成上级领导交办的其他临时工作。 

任职要求： 
1、本科及以上学历； 
2、有1年（含）以上行业工作经验； 
3、精通excel（函数、数据处理、图表）； 
4、熟练掌握SQL优先考虑。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257401351575571028
（CRM）数据产品经理,外卖配送事业群,北京市,全职,3年,本科,20K-40K,NULL,NULL,NULL,"工作职责：
- 负责美团外卖销售业务策略指标体系搭建并持续优化、迭代；
- 负责搭建支持业务发展的数据指标监控、运营管理和分析平台，负责产品全生命周期跟进和持续迭代优化；
- 根据业务规划设计数据产品，支持外卖业务发展，并进行资源协调、项目管理确保产品落地；
- 结合数据分析方法论，分析核心业务指标数据，从商业运营角度寻找产品的问题或机会点，通过设计产品工具，提升销售团队业绩；

职位要求：
- 3年以上B端或数据产品经验
- 有复杂业务逻辑的分析能力和产品设计经验
- 具备较强的逻辑思维，对数据、业务敏感，可以基于数据洞察提出业务优化的行动建议，并设计推动落地
- 目标导向，良好的沟通能力、推动能力，拥有强烈的责任心和团队合作精神",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257399829331774084
商家端产品经理—经营分析方向,外卖配送事业群,北京市,全职,3年,本科,20K-40K,NULL,NULL,NULL,"职位描述：

1、主导负责美团外卖商家端商家经营数据的统计、分析、营销等方向，负责产品的功能规划、体验设计、界面设计，与数据开发、业务方紧密合作，挖掘数据价值，形成产品；
2、业务团队与技术团队的沟通桥梁，通过深入了解业务需求，商家使用场景等，形成数据/统计/分析相关需求的PRD文档以及符合要求的原型图，协助技术开发满足商家数据要求。
3、制定产品运营策略，协调部门及业务方持续改善产品功能和使用体验，提高决策效率。
4、组织跨团队协作，保证项目如期上线；

任职要求：

1、本科以上学历，3年以上产品工作经验；
2、有产品设计和数据分析经验，能够独产承担产品规划工作；
3、有餐饮行业从业经验者优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257373711087045141
商业分析（供应链方向）,外卖配送事业群,北京市,全职,3年,本科,25K-35K,NULL,NULL,NULL,"1、行业&竞争研究：关注行业发生的主要变化，描述竞争对整体行业的影响，为判断未来发展方向提供依据
2、预算&盈亏：参与外卖侧未来三年的预算制定，分析各业务线盈亏状态
3、城市差异化经营：分析城市经营出现的问题，迭代未来城市差异化方向，推动绩效、补贴实现落地
4、商户结构分析：分析商户经营的主要动作， 能抽敛出不同商户特点，根据不同诉求，配置资源
5、其他专题研究
任职要求：
1、极强的主动性和自驱力；
2、工作计划性强，考虑问题全面、认真细致，对工作结果交付有高度责任心；
3、具备优秀的逻辑思维能力、数据解读能力、表达能力、沟通协调能力，能够与各部门有效合作；
4、熟悉数据库语言（SQL），擅长Excel及PPT；
5、3-5年工作经验，大型连锁企业/互联网/管理咨询更佳。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257367791816804871
高级行业分析师（产业研究）,公共关系部,北京市,全职,5年,本科,25K-35K,NULL,NULL,NULL,"岗位职责： 
1、熟悉互联网生活服务行业的产品和业务，包括但不限于餐饮、住宿、旅游、休闲娱乐、出行、零售等。
2、帮助集团或业务品牌与政府、产业上下游、媒体、用户等利益相关方沟通，主动策划撰写生活服务业研究报告。
3、结合公司业务发展与相关政策研判，帮助公司更好的呈现企业社会价值。
4、挖掘数据及行业新闻热点，与媒体合作相关数据新闻。

任职要求：
1、大学本科或以上学历，咨询、数据媒体、研究院从业经验优先。
2、研究分析能力出色，主动学习，抗压好，责任心强，善于沟通协作。
3、有政府、媒体数据合作经验者为佳。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257361999889828352
商业分析（价格策略组）,外卖配送事业群,北京市,全职,3年,本科,25K-35K,NULL,NULL,NULL,"【岗位职责】
-参与外卖配送战略的制定与拆解，制定相应的业务策略
-紧跟业务快速发展、策略快速迭代的需求，能够扫描行业内与面向消费者/客户的定价手段，做好外卖平台定价策略规划及落地工作，通过策略帮助美团外卖提升规模，平衡利润
- 参与同城配送规划，制定定价策略、营销策略、运力策略、业务流程、经营分析，同各业务方协同推进业务增长
-针对亿级用户、百万级商户、日均千万级订单的相关数据进行分析，科学评价含但不限于定价策略的市场影响，同时提升新的产品及运营迭代方向

【岗位要求】
- 2年及以上工作经验，有BI、咨询公司、四大、物流开放平台经验优先
-严谨细心，对数字敏感，具有较强的逻辑思维
-有数据分析经验，了解统计学的基本知识加分，了解财务管理的基本知识加分
-有SQL经验加分，有零售行业、物流行业（配送解决方案）经验加分",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/11,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257300364248615376
数据挖掘高级工程师,技术工程及基础数据平台,北京市,全职,不限,本科,20K-40K,NULL,NULL,NULL,"工作职责：

1、整合美团点评公司级数据，O2O领域海量大数据价值挖掘

2、专题性探索，深入数据，分析建模与框架搭建

3、从数据出发，研究挖掘算法和模型，知识发现与价值提升



任职资格：

1、热爱大数据，有强烈的好奇心，对数据有理想和追求，数据挖掘、机器学习相关工作经验3年以上，本科以上学历。

2、熟悉数据挖掘相关算法(决策树、SVM、聚类、逻辑回归、贝叶斯)，有实践经验，具备扎实的数据分析功底，业务转化与数据建模能力。

3、掌握大数据海量数据处理技术，有Hadoop/Hive/Impala/Spark/MPI相关经验者或者其他大规模数据处理经验。

4、至少掌握java/python/scala等一种语言。

5、良好的沟通，团队协作能力。

6、有从事用户研究分析、社群关系挖掘经验者尤佳",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/10,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=257023803850295709
搜索算法工程师,点评平台及综合事业群,上海市,全职,3年,硕士,20K-40K,NULL,NULL,NULL,"工作职责：
－负责点评平台搜索的开发和算法优化工作
- 对用户的搜索意图进行精准理解和分析，建立个性化实时化差异化的“千词千面”的搜索引擎
- 研究业界前沿的搜索算法和处理架构并应用在实际业务中

职位要求：
－精通JAVA/Python，有良好的编程习惯，对数据结构和算法设计具有深刻的理解
－熟练使用一门开发语言，有Mapreduce/Hadoop/Spark等大数据处理框架经验者优先
－对数据敏感，数学功底扎实，善于利用算法解决实际问题，有搜索、推荐、广告系统相关实践背景的优先
－有自然语言处理相关经验者优先
－具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题/解决问题
－有强烈的上进心和求知欲，具体强烈的责任心、良好的团队合作精神，善于学习新事物",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/10,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=203819303714521414
数据产品经理（综合行业产品）,点评平台及综合事业群,上海市,全职,5年,本科,15K-25K,NULL,NULL,NULL,"岗位职责
1、深入理解业务，构建全面、准确的业务指标体系，能及时反映业务发展并定位业务问题；
2.、沉淀分析思路与框架,，提炼数据产品需求，并推动数据产品的迭代；帮助部门提升数据化运营能力
3、通过简单有效的数据产品，帮助客户提升生意

岗位要求
1、本科或以上学历，3年以上的数据产品设计经验；
2、良好的业务理解能力、逻辑思维、沟通能力
3、对数据敏感，深入理解指标与维度，具备良好的数据整合与产品化的能力
4、有“用户画像”类产品建设经验者优先考虑",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/10,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=247301722324148137
NLP算法工程师（平台技术部上海）,点评平台及综合事业群,上海市,全职,2年,硕士,18K-36K,计算机、数学或相关专业硕士以上学历,NULL,NULL,"岗位职责：
1、挖掘各种来源的非结构化的文本数据，如用户评论、自媒体文章等，提取有价值的信息
2、提升分词、词性标注等、情感性分类等基础算法的准确率
3、开发长文本自动摘要模型
岗位要求：
1、计算机、数学或相关专业硕士以上学历;
2、NLP方向中有一年以上项目经验，有深度学习项目经验优先，善于将业务问题抽象为机器学习问题;
3、熟悉常用的分类聚类算法，清楚了解算法原理并能做一定的改进;
4、对深度学习模型如CNN、RNN、GAN等有一定的了解;
5、有一定的Hadoop MapReduce/Spark计算任务开发经验，熟悉常用参数调整策略;
6、熟练掌握python;
7、熟悉一种常用的深度学习计算框架，tensorflow优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/10,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=229030424494016421
数据挖掘工程师（平台技术部上海））,点评平台及综合事业群,上海市,全职,2年,硕士,18K-36K,计算机、数学或相关专业硕士以上学历,NULL,NULL,"工作内容：
1、深入挖掘大众点评用户和商户的行为特征
2、协助改进商户评分和排行榜算法
任职要求：
1、计算机、数学或相关专业硕士以上学历;
2、一年以上数据挖掘项目经验;
3、熟悉常用的分类聚类算法，清楚了解算法原理并能做一定的改进;
4、有一定的Hadoop MapReduce/Spark计算任务开发经验，熟悉常用参数调整策略;
5、精通sql,熟练掌握python或R",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/10,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=229108157978839036
图像算法工程师（搜索推荐技术中心）,点评平台及综合事业群,上海市,全职,2年,硕士,18K-36K,NULL,NULL,NULL,"工作职责：
1.负责图像质量模型开发以及评估
2.负责全公司的图片优化服务
3.跟踪及研究深度学习前沿技术

任职要求：
1.有图像处理以及图像分类经验;
2.深入了解常见机器学习算法，熟练运用算法解决实际问题；
3.至少熟练使用一种深度学习框架，如keras、tensorFlow、mxnet、caffe等；
4.熟练使用Java和Python，有Mapreduce/Hadoop/Spark等海量处理经验优先;
5.对数据敏感，有较强数据分析和解决问题能力;
6.有强烈的上进心和求知欲，善于学习新事物;
7.强烈的责任心，良好的沟通能力，良好的团队合作精神。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/10,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=244632116933499967
智能算法工程师,点评平台及综合事业群,上海市,全职,3年,硕士,20K-40K,NULL,NULL,NULL,"工作职责：
1.负责美团点评用户行为分析，用户的场景信息的挖掘；
2.负责用户意图引擎的构建与开发；
3.负责商户属性以及query和图片的相关性建模。
任职要求：
1.深入了解常见机器学习算法，熟练运用算法解决实际问题；
 2.至少熟练使用一种深度学习框架，如keras、tensorFlow、mxnet、caffe等；
 3.熟练掌握常见的时间序列模型；
 4.熟练使用Java和Python，有Mapreduce/Hadoop/Spark等海量处理经验优先;
 5.有图像处理以及图像分类经验的优先;
 6.对数据敏感，有较强数据分析和解决问题能力;
 7.有强烈的上进心和求知欲，善于学习新事物;
 8.强烈的责任心，良好的沟通能力，良好的团队合作精神。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/10,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=203821548305400110
商业分析师（目标绩效方向）,外卖配送事业群,北京市,全职,3年,本科,25K-40K,NULL,NULL,NULL,"岗位职责：
1、基于平台业务发展阶段、经营分析策略及市场竞争态势，不断完善业务线的绩效激励体系；
2、周期性进行业务绩效方案的迭代、目标测算、方案落地考核以及方案完成效果复盘；
3、就绩效考核方案与目标，负责与业务团队的宣导沟通，保障方案落地效果；
4、定期对负责的外卖业务进行经营专题分析，有针对性的对核心经营指标、异常数据进行监控分析，输出专题方案，并据此迭代绩效激励体系；
5、总结业务需求，与产品、技术团队沟通对接，推动产品系统开发。
任职要求：
1、本科及以上学历，3-5年工作经验，有互联网/管理咨询经验者更佳；
2、商业敏感性高，分析和建模能力突出，有2年以上绩效或数据分析工作经验者优先；
3、熟悉绩效激励相关理论，对业务有高度敏感性；
4、工作计划性强，考虑问题全面、认真细致，对工作结果交付有高度责任心；
5、具备优秀的逻辑思维能力、表达能力、沟通协调能力，能够与各部门有效合作；
6、熟习基本的统计与数学知识，熟练使用EXCEL，PPT，MySQL查询语言。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=256680791521691886
商业分析师（经营分析方向）,外卖配送事业群,北京市,全职,3年,本科,25K-40K,NULL,NULL,NULL,"岗位职责：
1、预判行业趋势，结合公司整体发展战略，有效输出外卖业务的经营规划策略，并定期复盘前期经营情况；
2、根据业务需求，输出对餐饮品牌、地域、线上活动等维度的经营专题分析；有针对性的对核心经营指标、异常数据进行监控分析；
3、负责餐饮及相关行业研究、用户研究、竞对研究等，基于研究分析结果，产出业务策略，推动策略落地。
4、根据业务经营目标及策略，设计符合业务导向的销售激励政策，并保证政策得到有效的上传下达。
任职要求：
1、本科及以上学历，3-5年工作经验，有互联网/管理咨询经验者更佳；
2、商业敏感性高，分析和建模能力突出，有2年以上互联网运营或数据分析工作经验者优先；
3、工作计划性强，考虑问题全面、认真细致，对工作结果交付有高度责任心；
4、学习力和洞察力突出，具备优秀的逻辑思维能力、表达能力、沟通协调能力，能够与各部门有效合作；
5、熟习基本的统计与数学知识，熟练使用EXCEL，PPT，MySQL查询语言。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=256680711948208295
商业分析师,外卖配送事业群,北京市,全职,3年,本科,25K-40K,NULL,NULL,NULL,"岗位职责：
1、根据平台发展战略，挖掘业务问题和痛点，定期迭代外卖KA品牌业务的经营规划和运营策略；
2、针对KA品牌业务问题，搭建并不断完善业务预测模型，对平台资源分配输出针对性的解决方案，包含补贴、流量策略、HC等；
3、跟踪分析策略&目标&资源的执行情况，提供数据分析报告及解决方案，推动协助销售团队达成业绩目标；
4、根据业务目标及策略，设计符合业务导向的销售激励政策，并保证政策得到有效的上传下达；
5、总结业务需求，与产品、技术团队沟通对接，推动产品系统开发。
任职要求：
1、本科及以上学历，3-5年工作经验，有互联网/管理咨询经验者更佳；
2、商业敏感性高，商业视野宽广，分析和建模能力突出，有2年以上互联网运营或数据分析工作经验者优先；
3、工作计划性强，考虑问题全面、认真细致，对工作结果交付有高度责任心；
4、善于观察和学习，具备优秀的逻辑思维能力、表达能力、沟通协调能力，能够与各部门有效合作；
5、熟习基本的统计与数学知识，熟练使用EXCEL，PPT，MySQL查询语言。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=256680469403338984
设计师（数据方向）,技术工程及基础数据平台,北京市,全职,不限,本科,20K-40K,工业设计、心理学、计算机、设计艺术等相关专业,NULL,NULL,"岗位职责
-负责美团技术工程大数据、云计算、数据BI及技术后台产品的交互及视觉设计；
-深度了解业务目标，能合理拆分落地产品需求并提出可执行方案；
-完成界面的流程设计、交互设计、视觉设计、demo制作，提高产品易用性及美观性； 
-参与Kit与Guideline规范的制定和实施，与产品经理、前端工程师紧密配合，做好跨部门沟通； 
-有数据分析能力或用户研究能力优先考虑。 

核心素质：
-深入了解业务，有垂直大数据产品或云计算产品等相关领域的产品设计经验；
-有很强的学习能力，对不同业务能够快速了解，深入研究
-有缜密的思维逻辑，需要有能梳理复杂逻辑和联动逻辑的能力
-有很强的同理心，对于用户实际使用场景能够切实了解并感受得到
-有全局思维，有一定数据分析能力和意识

岗位要求:
-3年以上工作经验,2年以上B端产品经验； 
-主导过完整的互联网/软件产品交互和视觉设计工作，能较好的驾驭跨平台多端设计；  
-具备独立思考、设计创新、合作共赢的意识； 
-产品把控能力强、有良好的逻辑性，善于产品分析及竞品分析；
-有良好的审美能力，对于设计流行趋势等有一定研究； 
-善于沟通，学习能力强，能高效与团队合作，促使产品的迭代与优化；
-工业设计、心理学、计算机、设计艺术等相关专业，本科及以上学历优先考虑；
*请附上文字简历及作品集链接，pdf形式为佳。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=256594884118513802
