职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
"高级spark工程师, , 中级spark工程师",,深圳-福田区,,3-4年经验,本科,15000-30000,,3,"五险一金,定期体检,专业培训,绩效奖金,年终奖金,员工旅游,法定年假,公司年假",岗位职责：1、负责Hadoophive开发（sql方向）；2、负责sparkstreaming开发（java方向）；3、负责ETL开发（工具方向）。任职要求：1、2年以上java开发2年以上大数据平台搭建运维经验，本科以上学历；2、熟悉Hadoophive，sparkstreaming；3、熟悉Linux操作命令；4、掌握canal、kafka、hbase、sqoop、azkaban、kettle等组件；5、了解企业级数据仓库优先；6、了解P2P、互联网金融业务优先；7、责任心强、思路清晰、学习力强。,重庆伟仕金服科技有限公司,"金融, 投资, 证券",民营公司,,150-500人,,08/01/2018,前程无忧,http://jobs.51job.com/shenzhen-ftq/92996249.html?s=01&t=0
Spark大数据开发工程师,,杭州-滨江区,,2年经验,,12000-20000,,1,"五险一金,弹性工作,定期体检,年终奖金,股票期权",工作职责：1、参与大数据平台的设计与开发，解决海量异构数据面临的挑战；2、熟悉Linux环境下集群搭建，管理、优化并维护Hadoop、Spark等集群；3、利用Hadoop与Spark等相关大数据技术解决并实现业务需求；4、建立数据模型，对数据进行挖掘、优化、统计及展示。任职资格：1、计算机相关专业，本科及以上学历，2年以上Spark、Hadoop相关开发经验；2、熟悉主流的大数据产品（Hadoop、Spark、Hbase、Flume、Kafka等）和数据分析技术（机器学习)并具有相关项目经验；3、精通Scala语言编程，并熟练使用该语言进行Spark相关开发；4、具备JavaEE开发经验，熟练使用jQuery、Springmvc、Spring与Mybatis等技术框架；5、善于发现问题与解决问题，强烈的责任感和团队感，对负有挑战性的工作充满热情。,浙江贵仁信息科技股份有限公司,"电气, 电力, 水利,计算机软件",民营公司,,150-500人,,08/01/2018,前程无忧,http://jobs.51job.com/hangzhou-bjq/97363778.html?s=01&t=0
"Hadoop, Spark架构师",,广州,,无工作经验,本科,20000-30000,,1,"五险一金,员工旅游,专业培训,年终奖金,弹性工作,定期体检,绩效奖金,交通补贴,餐饮补贴,通讯补贴",【岗位职责】1、为海量数据的处理和分析提供解决方案，进行架构设计和搭建2、研究Hadoop/Spark/Hbase/Hive等开源项目，进行平台性能及可用性调优3、维持上线项目的服务高效稳定，支撑业务和数据量的快速扩张【岗位要求】1、大学本科及以上学历，计算机相关专业，至少3年Hadoop/Spark开发经验；2、熟悉Java/Python/Scala至少一种编程语言，对JVM运行机制有深入了解3、深入研究过Hadoop/Spark源码者优先4、熟悉Linux系统、熟悉SQL和noSQL的设计和开发5、熟悉企业应用设计模式、面向对象的分析和设计技术，包括设计模式、UML建模等6、对互联网、大数据技术有钻研热情，具备高度的责任心及团结协作精神，善于沟通交流。,广东源恒软件科技有限公司,"计算机软件,专业服务(咨询、人力资源、财会)",民营公司,,150-500人,,08/01/2018,前程无忧,http://jobs.51job.com/guangzhou/96427023.html?s=01&t=0
"SPARK, , ",,上海-杨浦区,,2年经验,本科,15000-20000,,4,"弹性工作,股票期权,出国机会,专业培训,定期体检,绩效奖金,五险一金,交通补贴,餐饮补贴,通讯补贴","工作内容:基于Scala、Hadoop、JDK、Spark、MapReduce、HDFS、HBASE、YARN等技术开发公司的核心大数据产品数猎（DataShire）。悦岚数猎是面向大数据工程师、分析师、专业咨询顾问等的大数据应用开发工具。使用它可以快速开发实施任意行业的大数据应用：精准营销、客户画像、分类、预测、数据仓库、商业智能、数据迁移、报表等。职位要求:1.精通Hbase，SPARK,HADOOP,MapReduce,STORM等一种或多种框架，有2年以上相关开发经验，理解源码能对内核进行修改和优化；2.JAVA商业项目开发经验3年以上；3.熟悉Java开发常用框架，如spring,ibatis/hibernate，netty等；4.能熟练阅读英文技术文档（必须具备），优秀的沟通能力和团队意识；",悦岚（上海）数据服务有限公司,计算机软件,民营公司,,50-150人,,08/01/2018,前程无忧,http://jobs.51job.com/shanghai-ypq/75611698.html?s=01&t=0
"大数据开发工程师, spark, ",,广州-天河区,,2年经验,本科,8000-10000,,1,"五险一金,补充医疗保险,员工旅游,通讯补贴,专业培训,弹性工作,定期体检","1、基于sparkscala等构建数据分析平台，进行设计、开发分布式计算业务；2、基于Spark技术的海量数据的处理、分析、统计和挖掘；3、基于Spark框架的数据仓库的设计、开发和维护3、负责数据处理性能调优，对数据库整体架构提出建议；4、编写系统的需求分析、设计、开发和部署文档等。任职要求：1.本科及以上学历，计算机相关专业；2.3年及以上大数据开发经验；3.熟悉HDFS/HBase/Hive/MapReduce/spark，有丰富的分布式编程经验；4.熟悉SparkStreaming和SparkSQL；5.熟悉CoreJava，熟悉JavaIO,NIO,多线程编程，熟悉JVM运行机制和内存管理，网络协议；6.熟练掌握Linux操作系统，熟悉shell等脚本编程；7.有在Spark相关项目中应用Java或Python语言的经验者优先;8.有过海量数据系统开发经验者优先；9.有良好的语言沟通能力，能够协调团队成员及相关部门开展分工及合作。",广州瀚信通信科技股份有限公司,"通信, 电信运营、增值服务,通信, 电信, 网络设备",民营公司,,500-1000人,,08/01/2018,前程无忧,http://jobs.51job.com/guangzhou-thq/96305975.html?s=01&t=0
spark,,杭州,,无工作经验,,20000-40000,,3,,"岗位职责：1.合作完成设计搭建TB级大数据实时及非实时处理平台。2.对大数据平台进行性能优化3.解决平台运行中出现的各种问题岗位要求：1.3年以上JAVA开发经验，2年以上大数据平台开发经验2.精通主流开源项目如hadoop,spark,storm等并有实际TB级大数据应用经验3.负责并成功实施过大数据平台建设项目4.具有强大的学习能力和技术前瞻性，对新技术充满热情5.有很强的代码阅读能力和解决问题能力6.积极进取，责任心强，能抗压",浙江核新同花顺网络信息股份有限公司,"互联网, 电子商务,金融, 投资, 证券",民营公司,,1000-5000人,,08/01/2018,前程无忧,http://jobs.51job.com/hangzhou/84658915.html?s=01&t=0
Spark工程师,,上海-浦东新区,,无工作经验,本科,15000-20000,,1,"五险一金,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金,年度旅游,带薪年假,节日福利,体检",工作职责1、负责数据仓库和大数据处理模块的架构设计和开发；2、实现基于SparkStreaming流处理程序的开发3、Spark技术研究和通用数据平台的性能调优；4、负责大数据项目中，基于SparkSQL等相关技术的海量数据的处理、分析、统计、挖掘工作。任职资格1.2年以上的大数据领域（主要是spark/hadoop/kafka/hive）开发经验2、熟悉Scala，Java语言，有丰富的分布式编程经验；3.熟练使用SparkStreaming、SparkSQL和SparkMLlib，对spark的运行原理有深入了解4.熟悉hadoop/spark的生态系统，例如Hive、Hbase、Zookeeper、Sqoop、Yarn、kafka等。5.熟悉spark/hadoop集群架构的设计和优化，并有实际的部署经验,招商银行股份有限公司信用卡中心,银行,上市公司,,10000人以上,,08/01/2018,前程无忧,http://jobs.51job.com/shanghai-pdxq/93145629.html?s=01&t=0
"Hadoop, Spark开发工程师",,北京-海淀区,,3-4年经验,本科,20000-40000,,1,"五险一金,定期体检,绩效奖金",【项目介绍】这是一款定位于服务平台互联网用户的金融产品，由搜狗公司内部孵化，深度挖掘搜狗在互联网端的用户规模优势以及多年的大数据能力积累。在当下大热的互联网金融领域，搜狗将发挥用户服务和智能算法优势，并结合平台的综合运营实力。如果你认同互联网金融，智能风控，大数据模型等概念，欢迎加入我们共同创造事业。【职位诱惑】全新业务板块，可以接触到多面技术挑战，能够带来快速提高成长【特别提示】搜狗欢迎专情的你，所以提醒你只能选择两个项目，请慎重投递。【岗位职责】1、负责大数据平台的架构设计、搭建；2、利用sql处理各种复杂的表关联关系；3、负责基于hadoop的数据ETL设计与开发；4、开发基于http的数据服务层以及数据可视化模块。5、理解业务场景、产品逻辑和分析需求，规划各种数据间的关联关系；6、运用Hadoop或者其它数据分析技术，针对数据分析工作，进行包括需求分析、平台选择、技术构架设计等技术支持工作；7、参与公司大数据处理方向的技术拓展。任职条件1、计算机、自动化或相关专业（如统计学、数学）本科以上学历，2年以上大数据处理相关工作经验；2、熟悉linux操作，熟练使用sed、awk、shell编程；3、精通sql。能利用高效的sql查询语言完成复杂数据关联工作。4、精通Java编程；精通大数据主流框架（如Hadoop、hive、Spark等）；熟悉MySQL、NoSQL（MongoDB、Redis）等主流数据库，以及rabbitMQ等队列技术；5、有图计算开发经验者优先，熟悉neo4j使用者优先；6、熟悉hadoop/spark生态的原理、特性且有实战开发经验；7、熟悉常用的数据挖掘算法优先；,北京搜狗科技发展有限公司,"互联网, 电子商务",外资（欧美）,,1000-5000人,,08/01/2018,前程无忧,http://jobs.51job.com/beijing-hdq/89608825.html?s=01&t=0
", hadoop, spark, 大数据开发工程师, ",,长沙-岳麓区,,无工作经验,大专,8333-12500,,4,"五险一金,餐饮补贴,绩效奖金,年终奖金",岗位职责：1、负责Hadoop集群的部署、开发、调优、维护和监控等工作；2、大规模业务，行为，日志分析、统计和建模；3、基于HDFS和HBase构建统一存储平台，并基于Hadoop技术平台开发大规模数据业务处理流程；4、精通spark熟练掌握scala开发。工作要求：1、大专及以上学历，计算机、统计、数学相关专业毕业，一年以上实际开发经验；2、熟悉Mysql/Oracle等至少一种关系型数据库，掌握SQL开发技术；3、熟悉Hadoop体系结构、对Hadoop生态圈有较全面的了解4、熟悉HDFS/HBase/Hive/MapReduce/Pig/Mahout/Impala等相关技术，并有实际的开发经验5、熟悉java和shell，可以熟练的使用linux系统，了解Linux群集技术者优先6、掌握MapReduce处理问题思想，熟悉分布式计算模型或有高效索引技术经验者优先;7、擅长数据分析，对数据具有足够的敏感性，熟悉常规的数据统计、挖掘知识、统计方法；8、具备较强的学习及思考能力，能够熟练阅读英文资料；9、对新技术敏感，具备独立分析问题和解决问题的能力，对具有挑战性问题持续充满激情；,上海丞风智能科技有限公司,计算机软件,民营公司,,50-150人,,08/01/2018,前程无忧,http://jobs.51job.com/changsha-ylq/72496798.html?s=01&t=0
"Hadoop, Hbase, Spark开发工程师, ",,上海-嘉定区,,无工作经验,本科,10000-20000,,1,,一、工作职责：1、负责公司的大数据平台的研发工作（包扩日志采集，离线计算，数据仓库存储和处理等）2、参与产品设计讨论，共同设计产品。二、任职要求：1、精通Hadoop以及Hadoop生态圈上的应用，如Hbase、Hive；2、能够熟练使用Mapreduce技术实现分布式应用；3、有过ApacheThrift、kafka、Spark、Storm、MongoDB等一种或多种使用经验者优先；4、有钻研精神，乐于攻坚，学习能力强，具备良好的服务意识和沟通能力。,聚项信息科技（上海）有限公司,"互联网, 电子商务,计算机软件",民营公司,,少于50人,,08/01/2018,前程无忧,http://jobs.51job.com/shanghai-jdq/76484659.html?s=01&t=0
Spark开发工程师,,太原,,3-4年经验,,,,1,,职位描述：1.基于Hive，Spark，Hadoop的计算架构，进行大数据开发工作；2.在分布式集群上进行Hive和Spark数据开发；3.能够定位数据计算任务的瓶颈并进行性能优化；4.参与数据仓库设计与开发建设。职位要求：1.计算机、软件工程、大数据、云计算或数学等相关专业本科及以上学历，有两年及以上Hadoop实际开发经验；2.熟练掌握Scala开发语言，熟练使用Spark做大数据开发；3.熟悉Hadoop大数据生态圈，熟练使用HDFS、MapReduce、Hive、Hbase等；4.熟练Linux操作命令，能编写常用Shell脚本；5.熟练掌握MYSQL、DB2等关系型数据库及常用SQL；6.对大数据技术有钻研热情，具备高度的责任心及团结协作精神，善于沟通交流；7.有机器学习经验者优先考虑。,苏州工业园区凌志软件股份有限公司,计算机软件,民营公司,,1000-5000人,,08/01/2018,前程无忧,http://jobs.51job.com/taiyuan/93166007.html?s=01&t=0
"大数据开发工程师, spark, ",,成都-高新区,,1年经验,本科,7000-12000,,3,"五险一金,餐饮补贴,绩效奖金,定期体检","岗位职责：1、负责基于Spark的并行计算平台的算法开发与优化工作；2、负责根据项目需求设计数据分析算法。任职要求：技能要求：1、熟悉并行计算或者分布式计算，熟悉Spark框架,熟练掌握RDD编程；2、熟悉Spark源码者优先；3、熟悉ZooKeeper/kafka/Hadoop/HBase/Flume等平台；4、有深厚的操作系统，数据结构和算法基础；5、熟练掌握Java或Scala语言；6、熟悉mongodb数据库;7、熟悉数据挖掘、自然语言处理、信息检索、机器学习者优先；8、熟悉数据可视化相关技术者优先。",中电长城网际系统应用有限公司,"计算机软件,计算机服务(系统、数据服务、维修)",国企,,150-500人,,08/01/2018,前程无忧,http://jobs.51job.com/chengdu-gxq/81570022.html?s=01&t=0
"大数据工程师, Spark, ",,武汉-洪山区,,5-7年经验,本科,10000-15000,,1,"五险一金,补充医疗保险,员工旅游,通讯补贴,专业培训,绩效奖金,定期体检",职位描述：1.负责数据仓库和大数据处理模块的架构设计和开发；2.负责基于Spark技术的海量数据的处理、分析、统计、挖掘工作；职位要求：1.熟悉Hadoop/Spark生态系统组件的使用，至少有1年的Spark(Core/Streaming/SQL)开发经验；2.熟悉Scala/Java语言，对Scala/Java原理、底层技术有深入研究者优先；3.有优良的TroubleShooting能力，对新技术有孜孜不倦的热情，具有良好的学习能力、团队协作能力和沟通能力；4.有过海量数据系统开发经验者优先；5.在开源社群活跃并有积极贡献者优先；6.有统计学数学知识，海量数据处理、数据分析和挖掘经验者优先;,360健康,"互联网, 电子商务",外资（非欧美）,,150-500人,,08/01/2018,前程无忧,http://jobs.51job.com/wuhan-hsq/89229602.html?s=01&t=0
Spark开发工程师,,北京-海淀区,,无工作经验,,10000-20000,,1,"五险一金,弹性工作,专业培训,绩效奖金,年终奖金,股票期权","同行的***伴~~~感谢缘分，让你点点手指进入了我们的招聘页面，我们期待，优秀的你尽快加入，结伴fighting！这里有大量的***，休闲的别墅办公，超美味的午餐，丰富的娱乐，欢乐的同事，这些你想拥有吗？在这里你再也不是简单的***，我们带你一起向高富帅的路上狂奔！我们需要你：*负责构建Spark/HDFS大数据处理架构；*负责基于Spark技术的海量数据的自动化分析处理和统计工作；*基于Spark框架大数据架构的设计、开发和维护；*根据相关需求使用SparkStreaming/Storm、SparkSQL进行数据处理、查询和统计等工作；*实现大数据的深层次挖掘和准确业务推荐/营销。我们希望你具备：*计算机或相关专业；*熟悉spark内核,熟练掌握Java或者Scala语言，追求代码质量和程序效率；*熟悉SparkSQL,sparkStreaming等，对Spark体系结构、运行机制和源码有深入研究优先；*熟悉ElasticSearch、Lucene优先；*有Spark调优、统计学知识的优先考虑；*对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力；*责任心强，工作认真负责，能够承受一定的工作压力；*熟悉计算广告相关背景知识，有广告平台(ssp/dsp/adx)研发经验优先。先来点实际的：*多牛传媒为每一位员工提供最人性化的薪酬福利，工作环境；*入职缴纳社保公积金，我们义不容辞；*我们关心每一位多牛人的健康，健身房，水果，零食饮料等多项软福利；*每天下午困困哒，不要紧，咖啡无限量供应！*我们有最open的文化氛围，珍视每一位多牛人每一个小小的建议；*多牛传媒，趣，最活力，最学习，最靠谱，最创新；*我们等待你的加入！",北京多牛互动传媒股份有限公司,"互联网, 电子商务,影视, 媒体, 艺术, 文化传播",上市公司,,150-500人,,08/01/2018,前程无忧,http://jobs.51job.com/beijing-hdq/92957347.html?s=01&t=0
Spark工程师,,武汉,,无工作经验,,7000-12000,,2,"五险一金,绩效奖金,年终奖金,法定假期,节日福利,月度奖金",岗位职责：1.负责数据仓库和大数据处理模块的架构设计和开发；2.负责基于Spark技术的海量数据的处理、分析、统计、挖掘工作；3.基于Spark框架的数据仓库的设计，开发，维护；4.根据需求使用SparkStreaming和SparkSQL进行数据处理、查询、统计等工作。职位要求：1.本科以上学历，IT软件、计算机、互联网等相关专业；2.2年以上的Spark开发经验；3.熟悉Scala语言，对Scala原理、底层技术有深入研究者优先；4.熟悉SparkStreaming和SparkSQL；5.具有Hadoop集群和spark集群的性能优化能力；6.有过TB级数据系统开发经验者优先。,深圳市财富趋势科技股份有限公司武汉研发中心,"计算机软件,金融, 投资, 证券",民营公司,,150-500人,,08/01/2018,前程无忧,http://jobs.51job.com/wuhan/85824035.html?s=01&t=0
"大数据开发工程师, spark开发, ",,上海,,无工作经验,本科,10000-15000,,1,"五险一金,补充医疗保险,员工旅游,年终奖金,绩效奖金,出国机会,专业培训,餐饮补贴,定期体检","1：计算机相关专业,本科以上学历。至少1年以上大数据相关开发经验2：熟悉java，scala或者其他相关常用语言，扎实的代码基础，3；熟悉sparkcorel/streaming开发4：熟悉大数据的生态圈，熟悉相关组件。5：熟悉相关源码或者附上git或者博客地址。6：思维活跃，可以独立解决问题",上海智子信息科技股份有限公司,"广告,互联网, 电子商务",民营公司,,50-150人,,08/01/2018,前程无忧,http://jobs.51job.com/shanghai/93206269.html?s=01&t=0
"大数据开发工程师, , , 大数据",,广州-白云区,,无工作经验,本科,10000-25000,,2,"五险一金,定期体检,专业培训,员工旅游,年终奖金",岗位职责1.负责基于Spark技术的海量数据的处理、分析、挖掘工作；2.实现基于Spark框架的分布式计算框架的开发；3.Spark技术研究和通用数据平台的性能调优；职位要求1.本科及以上学历要求，计算机或相关专业背景；2.五年以上相关领域技术开发经验，其中两年以上Spark开发经验；3.熟悉Python、Scala语言；4.熟悉SparkStreaming和SparkSQL，对Spark原理及底层技术有深入了解；5.良好的团队合作意识、沟通能力；6.有过海量数据系统开发经验者优先；,广州棒谷科技股份有限公司,"互联网, 电子商务,贸易, 进出口",民营公司,,1000-5000人,,08/01/2018,前程无忧,http://jobs.51job.com/guangzhou-byq/90005795.html?s=01&t=0
Spark大数据工程师,,深圳-南山区,,2年经验,,10000-15000,,1,"五险一金,餐饮补贴",任职要求：1.两年以上大数据平台设计和开发经验，具备优秀的编程能力和良好的开发习惯。2.具备独立搭建Spark架构、测试与运维的能力，有过大规模系统设计、优化和工程实现的经验。3.熟悉Spark、SparkSQL和SparkStreaming内核原理；了解Hadoop生态组件相关技术，例如Hadoop、Hive、Kafka等，有SparkMLib和GraphX经验优先4.精通Python或Scala语言，熟悉Linux操作系统，熟练使用Shell脚本语言。5.具有认真的技术态度，良好的团队沟通和协作能力。,北京腾信软创科技股份有限公司,计算机软件,上市公司,,1000-5000人,,08/01/2018,前程无忧,http://jobs.51job.com/shenzhen-nsq/95778047.html?s=01&t=0
