职位名称,工作地点,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司规模,公司主页,发布日期
销售代表/客户经理,东莞-东城,不限,不限,5000-8000元,计算机/网络/通信,10人,"养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假",岗位职责:1：负责公司产品的销售推广，完成公司制定的销售任务2：开拓新市场，发展新客户，增加产品销售范围3：管理维护客户关系，以及客户间的长期战略合作计划4：非同其他行业销售（外出销售、推送产品）任职资格:1：18岁以上，男女不限、口齿清晰、能吃苦、有上进心、普通话标准，良好地沟通表达能力。！2：学历：中专、高中以上学历，专业不限，有经验或条件优秀者优先。3：对销售工作充满热性、积极性4：性格开朗、思维敏捷，具有良好的应变能力和抗压能力。5：经验：有无均可，我们有完善的培训体制，曾创下学校实习生月收入万元记录。待遇：（底薪3500+提成，有能力者上不封顶）、社保、激励奖、带薪年假、年度旅游、拓展培训等福利待遇。本公司晋升空间大，不甘心拿固定工资的，想挑战自我的，想锻炼自身意志口才的，本公司欢迎你的到来！,东莞市大易数据服务有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106484751/,2017/12/8
内容/新媒体运营,东莞-厚街,5-10年,大专,12000-20000元,耐用消费品(服...,2人,"包吃,带薪年假,员工体检",岗位职责:1.负责抓好公司经营规章制度和细则制定、系统规划年度工作计划，制定标准化、规范化的工作流程，经总经理批准后监督执行。2.负责为重大决策事项提供数据支持和专项研究报告。负责定期为公司提出定题企业经营状况分析和前景预测报告。3.管理协调市场部和技术部工作，确保公司经营系统整体功能发挥，对重大问题上报总经理裁决。4.负责组织制定公司经济责任制考核制度和考核工作实施细则，按月考核评分及时公布。5.主持公司经营系统总体设计方案，负责全公司经营投资预算方案、在批准后组织实施。6.密切关注国际国内信息产业动向和趋势，评估重大信息技术的影响，为公司引进先进信息技术提出意见和建议。7.负责审查部门提交的各种工作汇报，评估工作效率并对存在的问题加以处理，定期听取直接下级述职，并做出工作评定。8.负责指导、管理、监督各部门下属人员的业务工作，改善工作质量和服务态度，做好下属人员的绩效考核和奖励惩罚。9.负责组织完善各部门制定与其专业管理相关的各项管理制度；10.负责组织对公司人员的业务培训;11.完成总经理临时交办的工作。任职资格:熟悉运作互联网，有相关工作经验，对市场敏感。工作时间:周一至周六,东莞市热点皮具有限公司,耐用消费品(服...,100-499人,http://www.ganji.com/gongsi/106520645/,2018/1/3
销售主管/经理,东莞-NULL,不限,不限,12000-20000元,金融/银行/投...,200人,"包住,交通补助","北京和融通支付科技信息有限公司东莞分公司',':销售精英200名销售主管若干个工作内容:赠送pos机和办理信用卡1.无责任底薪5500起。2.只打上班卡，不打下班卡，业务自由。3.公司氛围好，每个月都有晋升机会。4.公司旅游及丰富业余活动。5.高提成，只要你勤快，月薪过万，轻轻松松。6.在这里不看学历，不论高低。只要你想要，没有什么你做不到",东莞市联莞数据服务有限公司,金融/银行/投...,500-999人,http://www.ganji.com/gongsi/106566563/,2017/12/23
网络推广,东莞-东城,不限,不限,3000-5000元,教育/培训,3人,"包吃,包住,餐补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,做五休二,年底双薪,员工体检",岗位职责：1、负责企业的网络推广营销工作；2、在网络营销经理的领导下，完成企业的网络营销宣传任务；3、运用网络营销的各种方法，实现企业指定的网络推荐工作；4、掌握搜索引警优化、交换链接、网站检测、邮件群发、客户端信息群发5、负责网站推广，包括问答平台、论坛、百度贴吧、百度百科、博客等任职资格：1、具有较强的沟通能力及广告文笔表达能力，工作责任心强，有良好的团队协作精神；2、熟悉各大网络媒体的投入，有一定的品牌活动策划和执行经验；3、熟悉掌握互联网推广技术、精通各种网络营销渠道，手段和工具，能独立完成推广方案的制定，实施和跟踪4、熟悉搜索引擎原理、对搜索引擎推广、B2B、博客、论坛推广有可行有交的方法5、利用网站推广的常用方法进行推广。,北京才秀人人科技有限公司,教育/培训,500-999人,http://www.ganji.com/gongsi/105119931/,2018/1/3
招生/课程顾问,东莞-塘厦,不限                        ,大专,5000-8000元,教育/培训,12人,"包吃,包住,带薪年假,做五休二,员工体检",岗位职责：1、通过电话和面对面与家长沟通，挖掘家长实际需求，帮助家长了解公司的服务；\xa0\xa0\xa02、为学生进行测评并制定切合实际的学习和进步方案；\xa0\xa0\xa03、协助主管确保完成计划销售额，并确保利润率；\xa0\xa0\xa04、进行老客户的回访及信息的反馈工作；\xa0\xa0\xa05、在主管指导下开拓新市场，增加新客户。任职资格：1、形象气质佳，亲和力强，具备较强的表达和沟通能力2、有电话销售，派单员经验的优先工作时间：周三至周日，周一，周二休,东莞市大朗群星汇培训中心,教育/培训,20-99人,http://www.ganji.com/gongsi/105867599/,2018/1/3
人事专员/助理,东莞-东城,1-3年,不限,3000-5000元,计算机/网络/通信,1人,"养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假","岗位职责:1：协助上级建立健全公司','、培训、工资、社保福利、绩效考核等人力资源制度建设2：全面负责开展','工作，熟悉','工作流程3：协调办理员工','、入职、离职、调任，升职等手续4：建立维护人事档案，办理和更新劳动合同5：开展新员工入职培训6：帮助处理协调员工关系，组织员工活动待遇：底薪2800+绩效+社保+带薪年假+年度旅游、拓展培训任职资格:1：有','经验者优先工作时间:9:00-18:00",东莞市大易数据服务有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106484751/,2017/12/25
网络销售,东莞-南城,3-5年,大专,12000-20000元,旅游,1人,"包吃,包住,餐补,养老保险,医疗保险,工伤保险,失业保险,生育保险,加班补助,年底双薪",岗位职责：1.负责平台搭建，营销推广及网络广告的设计、投放，管理团队人员管理；2.针对推广效果进行跟踪、评估和统计分析，及时提出营销改进方案；3.负责收集市场和行业信息，提出店铺问题和解决方案；4.依托网店平台进行网上销售服务，处理订货信息，订单确认处理、跟踪以及客户在订单过程中的疑问解答；5.熟练掌握并能熟练应用软文、交换链接、邮件推广、SNS推广及其他推广方式。任职要求：1.28-38岁，有3年以上淘宝等电商平台建设与管理经验；2.熟悉网络推广渠道、运作模式，精通商城运营管理，有着优秀的战略意识；3.有良好的语言沟通能力，掌握良好的沟通技巧，洽谈能力强；4.懂得利用数据分析，指导并检验推广计划；5.踏实认真、好沟通、执行力强、抗压能力强，有团队合作精神。工作时间：6天8小时月工资：一般5000-8000，勤奋人8000-10000优秀人10000-250002、免费旅游、现金、日用品、水果、家电、电影券、餐券、等（月度及季度奖励）,广东新纪元旅行社有限公司,旅游,20-99人,http://www.ganji.com/gongsi/106114894/,2017/1/1
销售代表/客户经理,东莞-NULL,不限,不限,8000-12000元,金融/银行/投...,200人,"包住,交通补助","北京和融通支付科技信息有限公司东莞分公司',':销售精英200名销售主管若干个工作内容:赠送pos机和办理信用卡1.无责任底薪5500起。2.只打上班卡，不打下班卡，业务自由。3.公司氛围好，每个月都有晋升机会。4.公司旅游及丰富业余活动。5.高提成，只要你勤快，月薪过万，轻轻松松。6.在这里不看学历，不论高低。只要你想要，没有什么你做不到",东莞市联莞数据服务有限公司,金融/银行/投...,500-999人,http://www.ganji.com/gongsi/106566563/,2017/1/2
网店运营,东莞-南城,1-3年,大专,5000-8000元,计算机/网络/通信,2人,"交通补助,养老保险,医疗保险,工伤保险,失业保险,生育保险,年底双薪",岗位职责:负责公司微商城的运营和推广工作。每周活动的对接，推文等工作。任职资格:同行业从业一年以上，Ps等软件熟悉。有创新能力，工作态度好。服从管理。工作时间:周一至周六8：30-12：00下午2：00-6：00公司福利：新员工入职可提供住宿，享受年底双薪，交通补贴，每天有下午茶，不定期安排聚餐，每个月旅游。丰厚的年终奖：名车，现金每年两次国内大型旅游管理层+国外游每月目标完成广东省内旅游一次另外烧烤聚餐KTV在信华我们没有白水，只有咖啡和饮料不管是谁介绍成功入职出单奖金500现金信华科技是一家创业型公司，在公司只要你有能力工资你来定，老板随便叼只要您有梦想，有冲劲，欢迎您的加入！！！,东莞市信华信息科技有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/105867951/,2018/1/3
店铺运营,东莞-东城,不限                        ,不限,5000-8000元,美容美发,3人,"包吃,包住,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,做五休二,年底双薪,员工体检",职位描述职位描述：1.全面参与负责公司淘宝平台的运营管理，参与公司整体运营策划，与设计定期更新版面，推进店铺营销活动，保持网站的正常运作；2.组织完成公司整体业务计划，监控相关数据，协调各部门工作；3.统筹好客服团队，做好产品上传，产品数据在线维护管理，销售系统内部的订单处理等；4.负责淘宝平台的营销推广；5.负责维护合作的商业渠道资源，负责客户疑难订单的追踪和查价，处理评价、投诉等。岗位要求：1、初中及以上学历，专业不限，接受应届生，接受零基础；2、有较强团队协作能力，热爱电商，有责任心；3、有较强的沟通能力，能够与各相关部门进行积极、主动、有效的沟通；4、有较强的EXCEL处理能力和较强的逻辑分析能力。,凡可（广州）信息科技有限公司,美容美发,100-499人,http://www.ganji.com/gongsi/106467480/,2018/1/3
销售代表/客户经理,东莞-东城,不限,不限,5000-8000元,计算机/网络/通信,10人,"养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假",岗位职责:1：负责公司产品的销售推广，完成公司制定的销售任务2：开拓新市场，发展新客户，增加产品销售范围3：管理维护客户关系，以及客户间的长期战略合作计划4：非同其他行业销售（外出销售、推送产品）任职资格:1：18岁以上，口齿清晰、能吃苦、有上进心！2：对销售工作充满热性、积极性3：性格开朗、思维敏捷，具有良好的应变能力和抗压能力。工作时间:朝九晚六，单休待遇：（底薪3500+提成，有能力者上不封顶）、社保、激励奖、带薪年假、年度旅游、拓展培训等福利待遇。本公司晋升空间大，不甘心拿固定工资的，想挑战自我的，想锻炼自身意志口才的，本公司欢迎你的到来！,东莞市大易数据服务有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106484751/,2017/12/30
其他服装/纺织设计/生产,东莞-虎门,不限,大专,5000-8000元,耐用消费品(服...,1人,"包吃,包住,养老保险,医疗保险,工伤保险,失业保险,生育保险,年底双薪",1、有数据分析职业经验。2、熟练应用EXCEL的函数、透视及其他常规的工具。3、能熟练使用宏工具更佳。4、有一定的数据建模、自动化报表设计经验。5、负责商品数据分析工作。6、负责商品畅滞销、商品排名、门店排名、商品数据异常、门店数据异常的发现与汇报。7、负责跟踪异常数据的处理结果汇报。,东莞市三苑宜友制衣有限公司,耐用消费品(服...,500-999人,http://www.ganji.com/gongsi/105421219/,2017/12/29
招聘专员/助理,东莞-东城,1年以内,不限,3000-5000元,计算机/网络/通信,1人,"养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假","岗位职责:1：协助上级建立健全公司','、培训、工资、社保福利、绩效考核等人力资源制度建设2：全面负责开展','工作，熟悉','工作流程3：协调办理员工','、入职、离职、调任，升职等手续4：建立维护人事档案，办理和更新劳动合同5：开展新员工入职培训6：帮助处理协调员工关系，组织员工活动待遇：底薪2800+绩效+社保+带薪年假+年度旅游、拓展培训任职资格:1：有','经验者优先工作时间:9:00-12:0013:30-18:00",东莞市大易数据服务有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106484751/,2017/1/2
销售代表/客户经理,东莞-东城,不限,不限,5000-8000元,计算机/网络/通信,10人,"养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假",任职职责：1：负责公司产品的销售推广，完成公司制定的销售任务2：开拓新市场，发展新客户，增加产品销售范围3：管理维护客户关系，以及客户间的长期战略合作计划4：非同其他行业销售（外出销售、推送产品）任职资格：1：18岁以上，男女不限、口齿清晰、能吃苦、有上进心、语音富有感染力！2：对销售工作充满热性、积极性、赚钱欲望强烈！3：性格开朗、思维敏捷，具有良好的应变能力和抗压能力。4：学历：中专、高中以上学历，专业不限，有经验或条件优秀者优先。5：经验：有无均可，我们有完善的培训体制，曾创下学校实习生月收入万元记录。待遇：（底薪3500+高提成，有能力者上不封顶）、社保、激励奖、带薪年假、年度旅游、拓展培训等福利待遇。本公司晋升空间大，不甘心拿固定工资的，想挑战自我的，想锻炼自身意志口才的，本公司欢迎你的到来！,东莞市大易数据服务有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106484751/,2017/1/2
销售代表/客户经理,东莞-东城,不限,不限,5000-8000元,计算机/网络/通信,10人,"养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假",岗位职责:1：负责公司产品的销售推广，完成公司制定的销售任务2：开拓新市场，发展新客户，增加产品销售范围3：管理维护客户关系，以及客户间的长期战略合作计划4：非同其他行业销售（外出销售、推送产品）任职资格:1：18岁以上，口齿清晰、能吃苦、有上进心！2：对销售工作充满热性、积极性3：性格开朗、思维敏捷，具有良好的应变能力和抗压能力。待遇：（底薪3500+提成，有能力者上不封顶）、社保、激励奖、带薪年假、年度旅游、拓展培训等福利待遇。本公司晋升空间大，不甘心拿固定工资的，想挑战自我的，想锻炼自身意志口才的，本公司欢迎你的到来！上班时间：朝九晚六，单休。,东莞市大易数据服务有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106484751/,2017/1/2
物流主管/经理,东莞-NULL,不限,不限,5000-8000元,贸易/交通/运...,10人,"包住,餐补,话补",美团外卖站点运营经理薪资：底薪+提成+绩效，综合工资5000~12000上岗地点：东莞、佛山、中山要求:1.男性，年龄22~40岁2.有意从事O2O及相关行业并愿意与公司一同尝试新领域3.身体健康，五官端正，能吃苦耐劳，为人正直，无犯罪记录及其他不良记录4.入职3年内能接受跨区域岗位调动者优先(广东东莞，佛山及周边城市)5.性格开朗，有配送物流相关行业经验者优先岗位内容:1、站点纪律、形象、工作状态管理2、站点站务管理3、站点数据掌控4、站点负责区域突发事件处理5、人员思想管理，正确宣导及落实公司的各项政策及制度，维护团队稳定，保持团结，控制人员流失6、基层管理人员选拔及考核培养,东莞锐速货运代理有限公司,贸易/交通/运...,100-499人,http://www.ganji.com/gongsi/106268036/,2018/1/3
鞋子设计,东莞-企石,5-10年,高中,5000-8000元,生产/制造,2人,"包吃,包住,养老保险,医疗保险,工伤保险,失业保险,生育保险,带薪年假,加班补助",岗位职责:负责各类鞋的出样纸版任职资格:熟悉鞋的制作流程，工作认真，积极主动、任劳任怨，有较强的责任心和团队合作精神，有高度的质量意识，货期意识，有良好的心理素质，良好的工作态度。工作时间:8-12小时，每周休息4天待遇：1.公司配备高标准的餐厅，宽敞且带空调的宿舍；2.公司设有大型的培训室，可供新员工入职培训；3.试用期满后可购买社保；4.每年的7--9月，公司发放每人200元的高温补贴；5.工龄满一年多员工，每年可享受全新的10%的年终奖金；6.每逢中国的传统重大节日，公司会组织聚餐及抽奖活动；7.公司设有大型的专业演出的灯光舞台，不定期的组织员工进行大型的文艺汇演；8.每年“五一劳动节”，举行“员工运动会”；9.每年资质全体员工外出旅游（大概在6--9月份）；10.公司设有台球场、乒乓球场、羽毛球场、灯光篮球场等，为丰富员工的日常生活；11.在公司连续工作5年以上的员工，公司每年颁发奖金或金牌以示奖励。,东莞市协成鞋业有限公司,生产/制造,100-499人,http://www.ganji.com/gongsi/106153727/,2017/12/31
数据运营,东莞-NULL,不限,不限,3000-5000元,计算机/网络/通信,100人,[],岗位职责:文员业务员面审员录单员任职资格:做事认真小心有责任心工作时间:8:30——6:00,湖南万享通讯设备有限公司东莞分公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106410419/,2017/9/16
数据运营,东莞-NULL,不限,不限,3000-5000元,计算机/网络/通信,100人,[],岗位职责:文员业务员面审员录单员任职资格:做事认真小心有责任心工作时间:8:30——6:00,湖南万享通讯设备有限公司东莞分公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106410419/,2017/9/16
网页设计/制作,福州-仓山,不限                        ,大专,5000-8000元,计算机/网络/通信,5人,"包住,餐补,交通补助,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪,员工体检",岗位职责：1、负责公司网站的设计、改版、更新；2、负责公司产品的界面进行设计、编辑、美化等工作；3、对公司的宣传产品进行美工设计；4、负责客户及系统内的广告和专题的设计；5、负责与开发人员配合完成所辖网站等前台页面设计和编辑；6、其他与美术设计相关的工作。任职资格：1、美术、平面设计相关专业，专科及以上学历；2、有网站开发项目经验者优先3、有扎实的美术功底、良好的创意思维和理解能力，能及时把握客户需求；4、精通Photoshop\\Dreamweaver\\Illustrator等设计软件，对图片渲染和视觉效果有较好认识；5、善于与人沟通，良好的团队合作精神和高度的责任感，能够承受压力，有创新精神，保证工作质量；～在线留下电话获得面试机会～,福州达内信息科技有限公司,计算机/网络/通信,1000-9999人,http://www.ganji.com/gongsi/105182889/,2018/1/3
销售总经理/总监,东莞-常平,不限,不限,5000-8000元,其它行业,1人,"包吃,房补,带薪年假,年底双薪",1、协助总经理建立全面的产品品牌及海外营销战略2、依据公司的整体销售目标，组建公司海外经销团队及管理，按照公司确定的年度销售任务，分解成每个销售人员的销售指标并监督完成销售任务，并对销售完成提供资源及策略支持3、指导外贸销售人员完成产品及市场调研，为制定海外销售计划和销售方案提供依据4、及时分析市场动态，发现问题并协助解决，确保销售工作的5、综合行业竞争环境及市场预期，对产品目标改进规划及实施提供合理化的建议6、监督销售过程的实施管理，督促货款及时回收，妥善处理客诉7、良好的关键客户关系管理，定期和关键客户沟通，提升客户8、培训及考核销售团队成员，建设和管理销售团队，提升销售人员工作能力，完成公司销售及营销任务9、销售管理制度确立及工作流程的优化,各际葡萄酒文化商业（深圳）有限公司,其它行业,20-99人,http://www.ganji.com/gongsi/106600248/,2017/1/2
业务拓展/跟单,东莞-东城,不限                        ,不限,面议,计算机/网络/通信,5人,"房补,养老保险,医疗保险,工伤保险,失业保险,生育保险,做五休二",岗位职责：1.主要负责营销微信开发项目；2.具备一定的电脑基础知识能够通过网络、媒体、APP、各种社交聊天平台多渠道发掘客户并进行有效沟通，最终达成销售；3.积极完成部门主管下达的任务，主动致电拜访客户。任职资格：1.形象好，气质佳，年龄在18-35岁，性别不限；2.有电话销售拜访客户经验或有销售兴趣的应届生优先考虑；3.具备一定电脑基础知识；4.工作仔细认真、责任心强、为人正直、热情大方。期待不甘于平凡的你加入我们团队！跟我们一起挑战高薪！（可培训应届生）工作时间：周一到周五8：45~12:002:00~5:30，周末双休。无加班，法定假期放假，购买五险！实用期1个月。,广州启飞信息技术有限公司东莞第一分公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106301041/,2017/1/2
数据运营,东莞-NULL,不限,不限,3000-5000元,计算机/网络/通信,100人,[],岗位职责:文员业务员面审员录单员任职资格:做事认真小心有责任心工作时间:8:30——6:00,湖南万享通讯设备有限公司东莞分公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106410419/,2017/9/16
物业管理,东莞-南城,不限,大专,5000-8000元,物业管理/商业中心,1人,"包吃,包住,房补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,年底双薪,员工体检",岗位职责：1、在物业公司领导指导下，组织协调各部门秩序、实习运营目标；2、参与制定公司年度经营指标、计划；3、负责对各项目如此物业管理服务经营行为，进行运营管理、监督、知道，推动建立公司物业运营管控体系；4、复审核各项目编制的年度季度月度工作计划看、经验预算等，并监督、协助各项目按照公司计划严格执行；5、复各项目阶段性经营情况的统计、分析工作，监督推动年度经营指标的落实；6、负责各项目现场对外包管理工作的实际执行情况，发现不足及及时提出整改要求；7、复物业公司新项目前期阶段性工作，如新项目物业投标、备案、前期物业合同签署等工作；8、负责组织开展物业公司年度品牌推广工作。任职要求：1、经营管理类、物业管理类相关注意大专或以上学历；2、掌握工程、物管法律法规等相关方面的知识；3、具备良好的沟通能力、组织协调能力等综合能力；4、熟悉项目运作及物业管理各业务版块；5、有较强应变能力，有责任心，具有亲和力，有良好的职业道德和敬业精神，能接受外派。公司福利待遇：1、上班时间：月休6天，每天工作8小时；2、包食宿，宿舍有空调，不在公司住宿有住房补贴；3、享有国家规定的各类法定节假日，及带薪年假、婚假、产假、陪产假、丧假等；4、公司为员工购买社会保险、住房公积金等，入职签订劳动合同；5、员工享有工龄津贴、门岗津贴、夜班补贴、夜宵津贴、高温补贴、健康体检、带薪旅游等；6、每年享有年终奖，每年定期有调薪机会；7、异地工作及出差都有相应补贴及食宿报销；8、定期开展内部竞聘活动，为你打开晋升公司管理层的通道；9、公司重视每一位员工的发展和成长，开展各种类型的培训，提升员工的综合素质和能力。面试地址：东莞市南城区西平上手村同创市场二楼（景湖花园5号岗斜对面）光大物业总部导航：地址输入“东莞市同创综合市场”（景湖花园5号岗对面）乘车路线：1、从市汽车总站乘坐X20、LG1路到下手村口站下，往上手村同创市场走约380米到景湖花园南站；2、市汽车东站乘坐54路、X2路到下手村口站下，往上手村同创市场走约380米到景湖花园南站；3、南城汽车站乘坐18路、54路、806路到下手村口站下，往上手村同创市场走约380米到景湖花园南站；4、通过下手村站、景湖花园南站的公交路线还有：X9、10路、51路、52路；5、地铁路线：2号线西平站（到站后定位同创农贸综合市场，骑共享单车12分钟可到）。出行前请查询相关路线。\u200b,东莞市光大物业管理有限公司,物业管理/商业中心,1000-9999人,http://www.ganji.com/gongsi/105586151/,2018/1/3
销售代表/客户经理,东莞-东城,不限                        ,不限,面议,计算机/网络/通信,10人,"包吃,包住,交通补助,带薪年假",薪资待遇：基本工资3000+提成+奖金要求：1、有激情有目标、沟通能力好，喜欢挑战性的工作，乐观，上进。2、16-33周岁，能吃苦。3、应届毕业生优先考虑。（一对一指导培训）岗位职责：1、发现客户需求，分析目标客户。2、完成新业务开拓业绩指标。3、负责目标客户的筛选。4、潜在客户的持续跟踪。上班时间：8:25-12:0013:30-17:30做六休一，固定星期天休息法定节假日放假福利待遇：无责任底薪+提成+奖金+全勤奖+差7.5小时工作制+生日福利+法定节假日+年假+婚假,东莞市中盟网络科技有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/105518995/,2017/1/2
Web开发工程师,东莞-东城,不限,大专,面议,医药/生物工程,1人,"包吃,餐补,房补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,年底双薪,员工体检",岗位职责：1、和开发团队一起，按需求进行软件系统开发；2、编写技术文档和软件说明书；3、完成领导交办的其他工作；4、有WEB应用程序开发经验，有H5开发经验优先；任职要求：1、理工类专业大专以上学历，两年以上软件开发经验；2、熟悉数据库编程，有SQLSERVER和MYSQL数据库编程经验；3、熟.NET、JAVA、PHP任一种语言；4、有完整的WEB程序开发经验；5、工作认真负责、有良好的团队合作精神和创新学习精神，热爱软件开发工作。工作时间：每天工作七小时，五天半工作制，每周休息1.5天，年底超长带薪假期，享受所有法定节假日，购买社保和住房公积金,东莞市福华健康管理股份有限公司,医药/生物工程,100-499人,http://www.ganji.com/gongsi/105830347/,2017/1/2
销售代表/客户经理,东莞-常平,1-3年,高中,3000-5000元,其它行业,5人,"餐补,房补,带薪年假,年底双薪","1,区域市场客户的开发和维护.2.针对不同的市场环境,设定销售目标,不同的销售促进方式的配合,完成销售目标..3.每月配合展览或推广活动销售按照工作要求完成任务.4.商务谈判,在选择核心客户时,根据不同客户的实际情况,进行有效的商务谈判,开发新客户.5.销售政策及宣传推广工作的传达,使得各项销售工作政策能在客户当中及时,准确,清晰的传达.6、薪资：底薪(2000-3000)+提成+年终奖+激励奖工作时间：9:00至7:00",各际葡萄酒文化商业（深圳）有限公司,其它行业,20-99人,http://www.ganji.com/gongsi/106600248/,2017/1/2
Web开发工程师,东莞-东城,不限,大专,面议,医药/生物工程,1人,"包吃,餐补,房补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,年底双薪,员工体检",岗位要求：1、学历不限，28－50岁，A级驾驶证；2、熟悉东莞地区路线，有驾驶体检车经验优先考虑；3、能吃苦耐劳，有责任心。工作时间：每天工作七小时，五天半工作制，每周休息1.5天，年底超长带薪假期，享受所有法定节假日，购买社保和住房公积金,东莞市福华健康管理股份有限公司,医药/生物工程,100-499人,http://www.ganji.com/gongsi/105830347/,2017/1/2
后勤,东莞-常平,不限,不限,3000-5000元,其它行业,1人,"包吃,房补,带薪年假",1.服从领导安排，遵守公司和部门各项规章制度2.负责部门日常收、发、存管理工作，5.负责商品出车跟进，6.做好每天进出明细账目的登记7.兼做司机等杂碎工作。职位要求：会电脑的基本操作，有驾驶证优先工作时间：12:00至9:00,各际葡萄酒文化商业（深圳）有限公司,其它行业,20-99人,http://www.ganji.com/gongsi/106600248/,2017/1/2
区域/渠道经理,东莞-东城,不限                        ,不限,5000-8000元,计算机/网络/通信,5人,"交通补助,带薪年假",面试及上班地址：东莞市东城区东城大道23号骏达商业中心508室公交站：金澳花园，手机导航：骏达商业中心入职公司：东莞瑞姿化妆品有限公司岗位职责：1、负责公司业务及产品的销售。2、维护、开发现有资源，开拓新市场。3、负责开展市场调查、分析和预测。4、整体营销策略、方案的执行及实施，做好市场信息的收集、整理和反馈任职资格：1、男女不限，年龄20-33岁，有无工作经验皆可。2、吃苦耐劳，能适应东莞市范围内出差。3、沟通能利好，责任心强，能承受较大的工作压力。4、对美容产品感兴趣兴趣。工作时间：09:00—12:0013:30—18:30做六休一，固定星期天休息，法定节假日正常放假福利待遇：无责任底薪+提成+奖金+全勤奖+7.5小时工作制+生日福利+法定节假日+年假+婚假,东莞市中盟网络科技有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/105518995/,2017/1/2
幼教,东莞-清溪,1-3年,大专,3000-5000元,教育/培训,10人,"包吃,包住,年底双薪,员工体检",岗位职责：1、负责0~8岁儿童的早期教育课程；2、总部定期安排的培训积极参与，善于学习；3、协助销售顾问与家长沟通，解答家长早教专业问题；4、做好学童学习情况跟踪，课后家长有关问题的咨询解答工作。5、热爱孩子，积极完成教学，辅导好家长，帮助家长建立科学的教育观。任职资格：1、大专及以上学历，心理学、幼儿教育等相关专业；2、具有1-3年以上幼教教学经验者优先考虑；3、可接受毕业幼师，无经验也可；4、有良好的沟通能力，亲和力强，愿意跟随儿童共同成长，具有良好敬业精神；5、样貌端正，品质优良，熟悉儿童的生活习性，了解儿童的心理；6、各类证书等一切能证明你能力的通行证请准备好。工作时间：每日工作8小时月休四天公司福利和待遇：1、总部定期安排专业培训，帮助您提升与完善自我；2、极具竞争力的薪资：年底双薪，还有员工分红；3、公司零食不断。随便你吃：生日有公司餐会；4、底薪+岗位津贴+每月绩效奖励+年终员工分红=你每月的工资！,东莞市清溪爱育婴幼儿智力开发咨询服务部,教育/培训,20-99人,http://www.ganji.com/gongsi/106116076/,2017/1/2
幼教,东莞-清溪,1-3年                        ,大专,3000-5000元,教育/培训,10人,"包吃,包住,年底双薪,员工体检",岗位职责：1、负责0~8岁儿童的早期教育课程；2、总部定期安排的培训积极参与，善于学习；3、协助销售顾问与家长沟通，解答家长早教专业问题；4、做好学童学习情况跟踪，课后家长有关问题的咨询解答工作。5、热爱孩子，积极完成教学，辅导好家长，帮助家长建立科学的教育观。任职资格：1、大专及以上学历，心理学、幼儿教育等相关专业；2、具有1-3年以上幼教教学经验者优先考虑；3、可接受毕业幼师，无经验也可；4、有良好的沟通能力，亲和力强，愿意跟随儿童共同成长，具有良好敬业精神；5、样貌端正，品质优良，熟悉儿童的生活习性，了解儿童的心理；6、各类证书等一切能证明你能力的通行证请准备好。工作时间：每日工作8小时月休四天公司福利和待遇：1、总部定期安排专业培训，帮助您提升与完善自我；2、极具竞争力的薪资：年底双薪，还有员工分红；3、公司零食不断。随便你吃：生日有公司餐会；4、底薪+岗位津贴+每月绩效奖励+年终员工分红=你每月的工资！,东莞市清溪爱育婴幼儿智力开发咨询服务部,教育/培训,20-99人,http://www.ganji.com/gongsi/106116076/,2017/1/2
