职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,职位描述和职位要求,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
数据分析,NULL,苏州-工业园区,全职,0年经验,本科,6000-12000,NULL,NULL,"绩效奖金,五险一金,交通补贴,话费补贴,餐饮补贴,住房补贴,员工培训,节日福利,办公装备高档,",岗位职责:数据分析【岗位要求】1、对产品参数、营销数据等数据进行数学上的模型分析及改善；2、对公司和产品相关的一些数据进行整理及分析；3、能够基于数据分析得到有价值的信息，为业务发展提供策略和建议；4、定期追踪业绩及其他关键业务指标情况，洞察到业务动作，提供决策基础；5、配合公司营运项目需求，及时提交分析报告；6、协助各业务部门完成数据整理、分析与利用，及时提供支持方面的工作；【任职资格】1、一本类211重点本科院校毕业，本科及以上学历，数学统计学等相关专业优先，熟悉Minitab等统计软件佳。2、具备卓越的数学分析能力及良好的计算机操作及文件编辑能力，数据敏感度与逻辑分析能力，能进行深度的数据信息汇总分析，提炼出有利于公司营运决策的信息；3、熟练操作excel，常规函数、数据透视表、图表制作等，能熟练运用ppt撰写分析报告；4、熟练应用SPSS、Eviews软件或其他统计分析软件；5、具备数据分析相关工作经验者优先；6、具有机灵踏实，工作细心负责，具有良好的学习及沟通协调能力。,"
 【招聘岗位】数据分析【岗位要求】1、对产品参数、营销数据等数据进行数学上的模型分析及改善；2、对公司和产品相关的一些数据进行整理及分析；3、能够基于数据分析得到有价值的信息，为业务发展提供策略和建议；4、定期追踪业绩及其他关键业务指标情况，洞察到业务动作，提供决策基础；5、配合公司营运项目需求，及时提交分析报告；6、协助各业务部门完成数据整理、分析与利用，及时提供支持方面的工作；【任职资格】1、一本类211重点本科院校毕业，本科及以上学历，数学统计学等相关专业优先，熟悉Minitab等统计软件佳。2、具备卓越的数学分析能力及良好的计算机操作及文件编辑能力，数据敏感度与逻辑分析能力，能进行深度的数据信息汇总分析，提炼出有利于公司营运决策的信息；3、熟练操作excel，常规函数、数据透视表、图表制作等，能熟练运用ppt撰写分析报告；4、熟练应用SPSS、Eviews软件或其他统计分析软件；5、具备数据分析相关工作经验者优先；6、具有机灵踏实，工作细心负责，具有良好的学习及沟通协调能力。
",苏州复承嘉华网络科技有限公司,分类信息,民营私企,NULL, 21－50人,NULL,2017-12-6,http://www.chinahr.com/job/5468916234193155.html,中华英才网
数据分析,NULL,佛山-禅城区,全职,1年经验,大专,6000-8000,NULL,NULL,"五险一金,绩效奖金,商业保险,节日福利,员工旅游,员工培训,弹性工作,",岗位职责:招兵买马】高薪诚聘，五险二金（年金），员工编制，双休。为了更好的服务大佛山五区，共300多家工商银行网点，800多万个客户。拟于2018年在禅城区，南海区，三水区，高明区开设新的营业部，需要储备一些高级人才，现急招管理、行政、内勤、销售等人才！岗位职责：1、负责公司营销产品的数据收集、统计、分析。2、对各类报表进行规范与统筹3、具有服务意思，了解客户，维护客户任职资格：1.拥有积极的工作心态，具备较好的人际沟通能力、具有较强的服务意识；2.具有耐性，勇于挑战自我，有较强的成就动机；3.专科及以上学历。,"
 【工商银行,招兵买马】高薪诚聘，五险二金（年金），员工编制，双休。为了更好的服务大佛山五区，共300多家工商银行网点，800多万个客户。拟于2018年在禅城区，南海区，三水区，高明区开设新的营业部，需要储备一些高级人才，现急招管理、行政、内勤、销售等人才！岗位职责：1、负责公司营销产品的数据收集、统计、分析。2、对各类报表进行规范与统筹3、具有服务意思，了解客户，维护客户任职资格：1. 拥有积极的工作心态，具备较好的人际沟通能力、具有较强的服务意识；2.具有耐性，勇于挑战自我，有较强的成就动机；3. 专科及以上学历。
",工银安盛人寿保险有限公司佛山中心支公司,保险,合资,NULL, 500人以上,NULL,2018-1-3,http://www.chinahr.com/job/5567883032464129.html,中华英才网
数据分析,NULL,厦门-思明区,全职,1年经验,大专,6000-10000,NULL,NULL,"五险一金,带薪年假,弹性工作,员工培训,",岗位职责:1、负责收集公司各部门的数据需求，并提炼总结出可执行的数据语言；2、深入理解公司数据和业务逻辑，通过报表工具和数据分析监控公司业务和发现问题，为业务管理和优化提供数据支持和合理的方案建议；3、参与公司数据仓库和BI平台的建设；4、对数据库性能分析与调优，排错，保证数据安全；5、参与各种与数据分析相关的项目工作。6、协助项目经理进行SAPBI项目的实施工作。任职要求：1、计算机、数学、信息及统计学相关专业，大专及以上学历；2、有接触或实施过BI或者ERP项目的优先；3、有编程基础或者SQL语言基础优先；4、需具备较强的抗压能力和学习能力；5、热爱数据，对数据及逻辑关系敏感，并对数据体系有深入的认识。,"
 岗位职责： 1、负责收集公司各部门的数据需求，并提炼总结出可执行的数据语言； 2、深入理解公司数据和业务逻辑，通过报表工具和数据分析监控公司业务和发现问题，为业务管理和优化提供数据支持和合理的方案建议； 3、参与公司数据仓库和BI平台的建设； 4、对数据库性能分析与调优，排错，保证数据安全； 5、参与各种与数据分析相关的项目工作。 6、协助项目经理进行SAP BI项目的实施工作。 任职要求： 1、计算机、数学、信息及统计学相关专业，大专及以上学历； 2、有接触或实施过BI或者ERP项目的优先； 3、有编程基础或者SQL语言基础优先； 4、需具备较强的抗压能力和学习能力； 5、热爱数据，对数据及逻辑关系敏感，并对数据体系有深入的认识。
",北京科莱特信息技术有限公司厦门分公司,计算机软件,民营私企,NULL, 500人以上,NULL,2018-1-3,http://www.chinahr.com/job/6365632641240071.html,中华英才网
数据分析,NULL,郑州-管城区,全职,0年经验,本科,3000-4000,NULL,NULL,"五险一金,绩效奖金,商业保险,工作内容有趣,办公室漂亮,地处繁华商圈,优秀人才多,办公装备高档,晋升空间大,领导易相处,豪华团建,员工培训,员工旅游,更多,",岗位职责:学历应届生，专业不限，计算机/统计学/数学类专业优先。2、熟练使用Excel或其他高阶数据分析软件，掌握定量、定性分析能力，具备良好的信息收集分析及预测能力，善于通过数据分析洞察需求；具有较强的数字分析能力。3、对服装行业感兴趣，对时尚流行趋势及市场变化有敏锐的观察力，有相关管理经验者优先。4、试用期固定工资3000元/月，转正后4000元/月或以上。享有社保、节假日。,"
 1、统招本科学历应届生，专业不限，计算机/统计学/数学类专业优先。2、熟练使用Excel或其他高阶数据分析软件，掌握定量、定性分析能力，具备良好的信息收集分析及预测能力，善于通过数据分析洞察需求；具有较强的数字分析能力。3、对服装行业感兴趣，对时尚流行趋势及市场变化有敏锐的观察力，有相关管理经验者优先。4、试用期固定工资3000元/月，转正后4000元/月或以上。享有社保、节假日。
",郑州粉蓝衣橱服饰(有限)公司,其他行业,民营私企,NULL, 101－300人,NULL,2017-12-25,http://www.chinahr.com/job/6301176169367045.html,中华英才网
数据分析,NULL,西安-碑林区,全职,0年经验,大专,4000-7000,NULL,NULL,"年终奖,五险一金,绩效奖金,项目奖金,员工培训,帅哥美女多,优秀人才多,","岗位职责:、对业务经营数据进行采集、整理和分析，提出有针对性的方案和建议。2、负责市场趋势与竞品数据的监控和洞察，帮助优化相关业务流程，推进产品运营部门工作进行。3、搜集整理产业链各环节关键数据信息，研究行业产业链，绘制产业链图谱。任职要求：1、大专及以上学历，理工科专业优先2、具备系统的资料收集、整理能力，及良好的文字处理能力；能熟练运用数据分析软件。3、具备较强的数据敏感度和数据分析力。4、良好的结构化分析与逻辑化表达能力、沟通能力和协调推进能力。5、快速学习能力及适应变化的能力，富有进取创新精神和团队合作意识。福利待遇：五险一金，入职满一年含一份商业保险。周末双休，工作时间为9:00-12:00,13:30-18:00。备注：由于公司目前在西安地区有招聘需求，应聘者请考虑实际情况进行投递，如果暂时不能到西安参加面试的异地求职者，需要确定好求职时间后再进行投递，避免投递后由于无法来面试而错过面试机会。","
 岗位职责：1、对业务经营数据进行采集、整理和分析，提出有针对性的方案和建议。2、负责市场趋势与竞品数据的监控和洞察，帮助优化相关业务流程，推进产品运营部门工作进行。3、搜集整理产业链各环节关键数据信息，研究行业产业链，绘制产业链图谱。任职要求：1、大专及以上学历，理工科专业优先 2、具备系统的资料收集、整理能力，及良好的文字处理能力；能熟练运用数据分析软件。3、具备较强的数据敏感度和数据分析力。4、良好的结构化分析与逻辑化表达能力、沟通能力和协调推进能力。5、快速学习能力及适应变化的能力，富有进取创新精神和团队合作意识。福利待遇：五险一金，入职满一年含一份商业保险。周末双休，工作时间为9:00-12:00,13:30-18:00。备注：由于公司目前在西安地区有招聘需求，应聘者请考虑实际情况进行投递，如果暂时不能到西安参加面试的异地求职者，需要确定好求职时间后再进行投递，避免投递后由于无法来面试而错过面试机会。
",西安隆泰建筑系统工程有限公司,智能硬件,民营私企,NULL, 301－500人,NULL,2017-12-11,http://www.chinahr.com/job/6298757441162246.html,中华英才网
数据分析,NULL,西安-雁塔区,全职,0年经验,大专,3000-4500,NULL,NULL,"节日福利,五险一金,差旅补贴,晋升空间大,项目奖金,话费补贴,交通补贴,餐饮补贴,解决户口,",岗位职责:主要从事无线网络的网络规划及无线通信网络优化的管理工作.对无线网络环境进行测试；对无线网络数据进行采集与分析；根据分析结果，提出网络解决及优化方案；进行网络日常优化，处理日常投诉等。任职资格：专及以上学历，应届毕业生可优先考虑；可为优秀的大三、大四在校生提供实习机会；有相关经验者优先，无经验者公司提供相关实践、实习；能接受出差，并愿意长期在该行业发展。工作时间：朝九晚六,"
 岗位职责： 主要从事无线网络的网络规划及无线通信网络优化的管理工作. 对无线网络环境进行测试； 对无线网络数据进行采集与分析； 根据分析结果，提出网络解决及优化方案； 进行网络日常优化，处理日常投诉等。 任职资格： 专及以上学历，应届毕业生可优先考虑； 可为优秀的大三、大四在校生提供实习机会； 有相关经验者优先，无经验者公司提供相关实践、实习； 能接受出差，并愿意长期在该行业发展。 工作时间：朝九晚六
",西安智牛网络科技有限公司,通信设备,股份制,NULL, 51－100人,NULL,2018-1-3,http://www.chinahr.com/job/6292945966205953.html,中华英才网
数据分析 ,NULL,郑州-经开区,全职,0年经验,大专,4000-6000,NULL,NULL,"五险一金,年终奖,员工旅游,节日福利,员工培训,带薪年假,",岗位职责:、对计算机感兴趣，软件开发实习工程师，软件测试工程师、游戏开发实习生等2、对软件开发感兴趣，并有意从事相关工作；3、理工科、计算机专业优先考虑；任职要求：1、大专及以上学历，理工类相关专业，热爱软件开发工作者优先考虑。2、非以上专业，喜欢热爱此行业的人员亦可。4、有较强的逻辑推理能力，善于学习钻研，做事认真严谨。5、本岗欢迎转行求职者、实习生、应届生前来应聘。,"
 岗位职责：1、对计算机感兴趣，软件开发实习工程师，软件测试工程师、游戏开发实习生等2、对软件开发感兴趣，并有意从事相关工作；3、理工科、计算机专业优先考虑；任职要求：1、大专及以上学历，理工类相关专业，热爱软件开发工作者优先考虑。2、非以上专业，喜欢热爱此行业的人员亦可。4、有较强的逻辑推理能力，善于学习钻研，做事认真严谨。5、本岗欢迎转行求职者、实习生、应届生前来应聘。
",河南品向文化传播有限公司,计算机服务,民营私企,NULL, 51－100人,NULL,2018-1-4,http://www.chinahr.com/job/6289989933009923.html,中华英才网
数据分析  统计专员,NULL,上海-静安区,全职,2年经验,大专,4000-8000,NULL,NULL,"带薪年假,带薪病假,绩效奖金,年终奖,员工培训,员工旅游,节日福利,领导易相处,帅哥美女多,","岗位职责:、负责收集零售数据并分析整理，制定货品供应链（采购、配货、仓储、零售、分销、核数等）分析报表及便捷运用模板2、规范整理各相关部门报表数据库，制定老板报表3、每天根据信息反馈，核对各仓库及店铺仓储变动表进行校正并提供分析报表4、每天根据信息反馈，提供各店铺及个人销售情况分析报表5、每周根据信息反馈，提供店铺及个人销售情况和销售业绩分析报表6、每周根据信息反馈，提供畅、滞销款报表分析或库存整改建议分析报告7、每两周根据信息反馈，提供各门店及渠道配货报表或建议分析报告8、每个月根据信息数据综合分析，为公司各部门制定计划指标提供数据根据9、每三个月根据信息调查反馈，制定各区域消费群体消费情况数据分析图表10、每六个月做综合性总结，为公司及各部门改进发展规划提供分析数据图表11、结合零售业务运营流程，通过数据挖掘和分析，为零售管理提供决策支持12、开发相关数据报表模版，为数据分析提供必要的数据支持任职要求：1、为人正直、责任心强，作风严谨、工作仔细认真，具备良好的职业道德素养2、有较强的数据敏感性、擅于通过数据分析发现业务规律、需求分析能力、逻辑推理能力3、遵守公司数据统计分析工作的规范管理，不虚报，不舞弊，不弄虚作假4、熟练掌握并操作MicrosoftOfficeWord、Excel（数据透视表，函数等）、PPT,熟悉ERP软件各报表数据整合6、熟悉公司运作对各部门的数据统计分析工作给予支持配合7、有一年以上零售管理、数据分析相关工作经验8、编报各类统计数据分析报表，整合汇总、综合分析，按时为上司提供可行性的报告9、保守公司统计机密薪资待遇：（4000--6000元)+绩效","
 工作职责：1、负责收集零售数据并分析整理，制定货品供应链（采购、配货、仓储、零售、分销、核数等）分析报表及便捷运用模板2、规范整理各相关部门报表数据库，制定老板报表3、每天根据信息反馈，核对各仓库及店铺仓储变动表进行校正并提供分析报表4、每天根据信息反馈，提供各店铺及个人销售情况分析报表5、每周根据信息反馈，提供店铺及个人销售情况和销售业绩分析报表6、每周根据信息反馈，提供畅、滞销款报表分析或库存整改建议分析报告7、每两周根据信息反馈，提供各门店及渠道配货报表或建议分析报告8、每个月根据信息数据综合分析，为公司各部门制定计划指标提供数据根据9、每三个月根据信息调查反馈，制定各区域消费群体消费情况数据分析图表10、每六个月做综合性总结，为公司及各部门改进发展规划提供分析数据图表11、结合零售业务运营流程，通过数据挖掘和分析，为零售管理提供决策支持12、开发相关数据报表模版，为数据分析提供必要的数据支持任职要求：1、为人正直、责任心强，作风严谨、工作仔细认真，具备良好的职业道德素养2、有较强的数据敏感性、擅于通过数据分析发现业务规律、需求分析能力、逻辑推理能力3、遵守公司数据统计分析工作的规范管理，不虚报，不舞弊，不弄虚作假4、熟练掌握并操作Microsoft Office Word、Excel（数据透视表，函数等）、PPT, 熟悉ERP软件各报表数据整合6、熟悉公司运作对各部门的数据统计分析工作给予支持配合7、有一年以上零售管理、数据分析相关工作经验8、编报各类统计数据分析报表，整合汇总、综合分析，按时为上司提供可行性的报告9、保守公司统计机密 薪资待遇：（4000--6000元)+绩效
",上海吉妮服饰有限公司,"贸易,进出口",民营私企,NULL, 101－300人,NULL,2017-12-15,http://www.chinahr.com/job/6141912627448835.html,中华英才网
数据分析 工程师,NULL,长沙 宁乡县-NULL,全职,2年经验,本科,10000-20000,NULL,NULL,"五险一金,住房补贴,",岗位职责:科及以上学历，统计学、数学、计算机、信息技术或其它相关专业；2.2年以上数据分析经验，具有智慧城市项目实践工作经验者优先；3.熟悉各类数据分析应用，能独立构建分析模型；4.具有良好的分析报告撰写能力，能制作专业分析报告。,"
 1.全日制本科及以上学历，统计学、数学、计算机、信息技术或其它相关专业；2.2年以上数据分析经验，具有智慧城市项目实践工作经验者优先；3.熟悉各类数据分析应用，能独立构建分析模型；4. 具有良好的分析报告撰写能力，能制作专业分析报告。
",宁乡智慧城市大数据管理有限公司,数据服务,国企,NULL, 20人以下,NULL,2017-12-26,http://www.chinahr.com/job/6391784805207557.html,中华英才网
数据分析（实习生）,NULL,大连-甘井子区,全职,0年经验,中专,3000-5000,NULL,NULL,"五险一金,项目奖金,带薪年假,节日福利,员工培训,工作内容有趣,办公室漂亮,优秀人才多,帅哥美女多,领导易相处,晋升空间大,定期体检,更多,",岗位职责:、配合顾问从事客户需求的系统分析开发工作；2、配合业务、实施完成售中、售前项目的分析设计工作；3、根据客户及实施需求规划设计产品功能。任职要求：1、大专及以上学历，计算机或相关专业；2、具有良好的职业道德和工作态度，良好的团队合作和协调能力；3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性；4、对互联网、信息技术、电子商务感兴趣，并有志在IT行业发展；5、具有较强的分析和解决问题的能力，丰富的知识和灵活的应变能力。,"
 岗位职责：1、配合顾问从事客户需求的系统分析开发工作； 2、配合业务、实施完成售中、售前项目的分析设计工作； 3、根据客户及实施需求规划设计产品功能。任职要求：1、大专及以上学历，计算机或相关专业；2、具有良好的职业道德和工作态度，良好的团队合作和协调能力；3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性；4、对互联网、信息技术、电子商务感兴趣，并有志在IT行业发展；5、具有较强的分析和解决问题的能力，丰富的知识和灵活的应变能力。
",大连罗兰贝格计算机技术有限公司 ,其他,其他,NULL, 101－300人,NULL,2018-1-4,http://www.chinahr.com/job/6193520724182534.html,中华英才网
数据分析（知乎）五险一金/双休,NULL,合肥-瑶海区,全职,0年经验,大专,4000-6000,NULL,NULL,"年终奖,五险一金,住房补贴,员工培训,办公室漂亮,带薪年假,餐饮补贴,",岗位职责:、对该平台的产品、运营、市场数据进行监测、统计、异常分析；2、协助数据分析师完成数据清理、产品数据评估等工作。任职要求：1、统招专科及以上学历，应用数学、统计学、计算机或相关理工科专业；2、熟悉和热爱互联网领域，有良好的数据敏感度；3、良好的沟通表达能力，能够进行跨团队的协调沟通；4、具备强烈的进取心和良好的团队合作精神。您将享有以下福利：1、工作时间：5天7小时，无需加班，周末双休；2、社保：医疗、生育、工伤、失业、养老保险及住房公积金；3、奖金：每月绩效奖金、项目奖金、年终奖金；一切靠实力吃饭；4、娱乐福利：每周末各类娱乐活动自由组合，专属生日趴；5、假期福利：享受国家规定的带薪年假、法定节假日。工作地址：合肥项目部，就近分配,"
 岗位职责：1、对该平台的产品、运营、市场数据进行监测、统计、异常分析；2、协助数据分析师完成数据清理、产品数据评估等工作。任职要求：1、统招专科及以上学历，应用数学、统计学、计算机或相关理工科专业；2、熟悉和热爱互联网领域，有良好的数据敏感度；3、良好的沟通表达能力，能够进行跨团队的协调沟通；4、具备强烈的进取心和良好的团队合作精神。您将享有以下福利：1、工作时间：5天7小时，无需加班，周末双休；2、社保：医疗、生育、工伤、失业、养老保险及住房公积金；3、奖金：每月绩效奖金、项目奖金、年终奖金；一切靠实力吃饭；4、娱乐福利：每周末各类娱乐活动自由组合，专属生日趴；5、假期福利：享受国家规定的带薪年假、法定节假日。工作地址：合肥项目部，就近分配
",合肥瑞粒科技有限公司,计算机软件,其他,NULL, 101－300人,NULL,2018-1-4,http://www.chinahr.com/job/6255242914825729.html,中华英才网
数据分析/数据统计/数据处理,NULL,上海-徐汇区,全职,0年经验,大专,4000-6000,NULL,NULL,"年终奖,绩效奖金,五险一金,带薪年假,带薪病假,弹性工作,员工培训,员工旅游,节日福利,工作内容有趣,地处繁华商圈,晋升空间大,更多,",岗位职责:、协助负责平台所有理财产品的业务数据分析，主题分析和数据可视化方案制定；2、依据平台现有数据，协助完成平台数据走势预测；3、通过数据分析，向运营人员提出运营策略的合理性建议；4、负责数据整合与分析模型的建立，优化以及跟进；任职要求：1、大专及以上学历，欢迎应届毕业生；2、热爱数据分析，对数字有一定的敏感性；3、认真负责，具有团队精神。公司薪酬：1、完善的工资体系，有多种公司福利；2、丰富的工资薪酬，多样化的员工活动；3、巨大的晋升空间，内部提拔。工作时间：周末双休，早九晚六。,"
 岗位职责：1、协助负责平台所有理财产品的业务数据分析，主题分析和数据可视化方案制定；2、依据平台现有数据，协助完成平台数据走势预测；3、通过数据分析，向运营人员提出运营策略的合理性建议；4、负责数据整合与分析模型的建立，优化以及跟进；任职要求：1、大专及以上学历，欢迎应届毕业生；2、热爱数据分析，对数字有一定的敏感性；3、认真负责，具有团队精神。公司薪酬：1、完善的工资体系，有多种公司福利；2、丰富的工资薪酬，多样化的员工活动；3、巨大的晋升空间，内部提拔。工作时间：周末双休，早九晚六。
", 上海首图信息科技有限公司,移动互联网,合资,NULL, 101－300人,NULL,2018-1-1,http://www.chinahr.com/job/6315386274483202.html,中华英才网
数据分析/投资者关系管理,NULL,北京-东城区,全职,3年经验,本科,10000-15000,NULL,NULL,"五险一金,商业保险,带薪年假,带薪病假,定期体检,弹性工作,员工培训,下午茶充足,节日福利,工作内容有趣,办公室漂亮,地处繁华商圈,优秀人才多,办公装备高档,晋升空间大,更多,",岗位职责:、根据财务季度、年度财务报表，撰写季度、年度财报，并参加管理层会议，准备相关财务数据及相关演讲材料；2、参与财经公关、投资者关系管理工作，做好投资者与客户关系维护，与投资者保持日常交流，回答投资者的常见问题；3、协助完成公司的年报、季度业绩发布、路演、会议等沟通活动；4、协助完成办公室日常工作和资料整理及供应商的管理工作；5、上级领导交办的其他工作事项。任职要求：1、优秀的英语听说读写能力；2、3年以上投资者关系、财务分析研究相关工作；3、沟通能力强，擅长团队合作；4、较强的表达能力（包括文字处理，编辑，PPt和Excel）,"
 岗位职责：1、根据财务季度、年度财务报表，撰写季度、年度财报，并参加管理层会议，准备相关财务数据及相关演讲材料；2、参与财经公关、投资者关系管理工作，做好投资者与客户关系维护，与投资者保持日常交流，回答投资者的常见问题；3、协助完成公司的年报、季度业绩发布、路演、会议等沟通活动；4、协助完成办公室日常工作和资料整理及供应商的管理工作；5、上级领导交办的其他工作事项。任职要求：1、优秀的英语听说读写能力；2、3年以上投资者关系、财务分析研究相关工作；3、沟通能力强，擅长团队合作；4、较强的表达能力（包括文字处理，编辑，PPt和Excel）
",网秦无限（北京）科技有限公司,移动互联网,上市公司,NULL, 500人以上,NULL,2018-1-2,http://www.chinahr.com/job/6301030002625538.html,中华英才网
数据分析+双休五险一金4K,NULL,青岛-市南区,全职,0年经验,中专,3000-5000,NULL,NULL,"年终奖,绩效奖金,五险一金,带薪年假,住房补贴,交通补贴,节日福利,员工旅游,员工培训,项目奖金,晋升空间大,豪华团建,更多,","岗位职责:脑办公软件要会(如WORD、EXCEL等)2。会办公室软件有经验优先，应届生亦可,负责信息编辑，工作简单易上手3。不会可培训。提供免费学习，提高自己，充实自己的机会。4。提升空间大，内部有提升机会，从文员、助理提升到主管，从主管可提升到经理等5。只要你工作踏实，勤快，表现好，一切待遇从优。6。应届生也可。7.面试成功后，公司提供员工公寓及享受每月家庭餐费补贴。8.公司提供实习平台，着重培养人才，有志从基层做起9.有无经验均可，有经验固然好，没有经验，我们就给你一个平台。应聘要求：1.中专及以上学历，年龄在18-26岁之间2.良好的团队合作能力和学习能力3.计算机或美术相关专业优先，具有一定设计能力4.可接受转行求职人员或应届生，但需要对设计类工作感兴趣5.能够尽快入职，长期稳定的工作；加入我们，您将享受如下待遇1、底薪+提成+奖金，月均收入5k起；2、入职实习期内缴纳五险一金；3、年终奖、出国游；4、公司提供健全的培训机制，能力强者有广阔的晋升空间。（弹性试用期，1-3个月，已实际能够独立承担岗位职责为准，可提前转正）。5、额外薪酬：如您有一技之长，可以额外获得的技能薪酬。BOSS给大家发了丰厚的奖金之后，公布了最新用人标准：1、只会工作，不会生活，不会玩儿的人，不要！2、害怕拿各种高薪福利拿到手软的人，不要！3、认识“勾心斗角”四个字的人，不要！4、拒绝参加公司每月集体旅游活动的人，不要！5、害怕成为最具幸福感公司一员的人，不要！6、叫我老板，不叫哥的人，不要！【五险加奖金】Boss说了，不让好员工挣钱的公司永远没希望！在这里，应届生的工资照样秒杀职场老炮儿！你只负责努力就好了，变着花样发钱这种事儿交给boss来！除了同行业最棒工资待遇，更有不期而至的个人奖、团队奖、年终奖，拿到手软！【集团公司未来前景不可限量】集团公司，长远的发展机会，成员90后，没有中年大妈的家长里短，没有阳奉阴违的职场甄嬛，听不懂流行语get不到热门信息的，不约！【像养媳妇一样养员工】这里有吃不完的零食，喝不完的下午茶，文案小张来公司1年之后胖了10斤，而跟她一样的显然不止1个。我们还会不定期还集体哈啤酒约烧烤；每月温泉/K歌/聚餐/看演唱会随机切换，公费带你嗨遍青岛！【不会玩儿的不要】不会工作的可以教，不会玩儿的我们不要！这里最讨厌压抑束缚的死板制度，上班时间音响随时可以点歌，任何问题及时找左邻右座！闪开，是时候放出我1个G的同事黑料表情包了【互联网公司的黄埔军校】开完了大会小会，该会的照样不会！我们讨厌学院派的文山会海，要学就学真功夫！别的地方把你当榆木疙瘩，来这里，迅速学会挑大梁！打通你学习的任督二脉，晋升速度还在等什么！快快加入吧！","
 要求：1。电脑办公软件要会(如WORD、EXCEL等)2。会办公室软件有经验优先，应届生亦可,负责信息编辑，工作简单易上手3。不会可培训。提供免费学习，提高自己，充实自己的机会。4。提升空间大，内部有提升机会，从文员、助理提升到主管，从主管可提升到经理等5。只要你工作踏实，勤快，表现好，一切待遇从优。6。应届生也可。7.面试成功后，公司提供员工公寓及享受每月家庭餐费补贴。8.公司提供实习平台，着重培养人才，有志从基层做起9.有无经验均可，有经验固然好，没有经验，我们就给你一个平台。应聘要求：1.中专及以上学历，年龄在18-26岁之间2.良好的团队合作能力和学习能力3.计算机或美术相关专业优先，具有一定设计能力4.可接受转行求职人员或应届生，但需要对设计类工作感兴趣5.能够尽快入职，长期稳定的工作；加入我们，您将享受如下待遇1、底薪+提成+奖金，月均收入5k起；2、入职实习期内缴纳五险一金；3、年终奖、出国游；4、公司提供健全的培训机制，能力强者有广阔的晋升空间。（弹性试用期，1-3个月，已实际能够独立承担岗位职责为准，可提前转正）。5、额外薪酬：如您有一技之长，可以额外获得的技能薪酬。BOSS给大家发了丰厚的奖金之后，公布了最新用人标准：1、只会工作，不会生活，不会玩儿的人，不要！2、害怕拿各种高薪福利拿到手软的人，不要！3、认识“勾心斗角”四个字的人，不要！4、拒绝参加公司每月集体旅游活动的人，不要！5、害怕成为最具幸福感公司一员的人，不要！6、叫我老板，不叫哥的人，不要！【五险加奖金】Boss说了，不让好员工挣钱的公司永远没希望！在这里，应届生的工资照样秒杀职场老炮儿！你只负责努力就好了，变着花样发钱这种事儿交给boss来！除了同行业最棒工资待遇，更有不期而至的个人奖、团队奖、年终奖，拿到手软！【集团公司未来前景不可限量】集团公司，长远的发展机会，成员90后，没有中年大妈的家长里短，没有阳奉阴违的职场甄嬛，听不懂流行语get不到热门信息的，不约！【像养媳妇一样养员工】这里有吃不完的零食，喝不完的下午茶，文案小张来公司1年之后胖了10斤，而跟她一样的显然不止1个。我们还会不定期还集体哈啤酒约烧烤；每月温泉/K歌/聚餐/看演唱会随机切换，公费带你嗨遍青岛！【不会玩儿的不要】不会工作的可以教，不会玩儿的我们不要！这里最讨厌压抑束缚的死板制度，上班时间音响随时可以点歌，任何问题及时找左邻右座！闪开，是时候放出我1个G的同事黑料表情包了【互联网公司的黄埔军校】开完了大会小会，该会的照样不会！我们讨厌学院派的文山会海，要学就学真功夫！别的地方把你当榆木疙瘩，来这里，迅速学会挑大梁！打通你学习的任督二脉，晋升速度还在等什么！快快加入吧！
",青岛龙果科技技术有限公司,移动互联网,股份制,NULL, 51－100人,NULL,2018-1-4,http://www.chinahr.com/job/6278683894254848.html,中华英才网
数据分析岗,NULL,深圳-福田区,全职,1年经验,大专,6000-8000,NULL,NULL,"绩效奖金,五险一金,商业保险,带薪年假,带薪病假,定期体检,员工培训,下午茶充足,",岗位职责:、独立完成各项日常数据分析统计工作；2、针对各项不定期业务需求，完成专题分析报告。应聘要求：1、具有一年或以上或信用卡的数据分析经验；2、熟练使用EXCEL，VBA，SAS或R等数据分析工具，有风险建模经验优先；3、统计专业、数学专业、计量经济专业或计算机专业优先。,"
 岗位职责：1、 独立完成各项日常数据分析统计工作；2、 针对各项不定期业务需求，完成专题分析报告。应聘要求：1、 具有一年或以上或信用卡的数据分析经验；2、 熟练使用EXCEL，VBA，SAS或R等数据分析工具，有风险建模经验优先；3、 统计专业、数学专业、计量经济专业 或计算机专业优先。
",深圳市前海鹏悦普惠信息咨询有限公司,金融,民营私企,NULL, 500人以上,NULL,2017-12-21,http://www.chinahr.com/job/6178741186790919.html,中华英才网
